index;Titel;Autor_normalisiert;Jahr;Geschlecht;Gattung;all_words_count;AbstConc;anteil_AbstConc
61;Bozena;Ebner-Eschenbach, Marie von;1876;f;Roman;62698;18.533.098.399.999.600;29.559.313.534.721.400
62;Lotti, die Uhrmacherin;Ebner-Eschenbach, Marie von;1880;f;Roman;33548;7.443.469.600.000.080;22.187.521.163.706
63;Das Gemeindekind;Ebner-Eschenbach, Marie von;1887;f;Roman;63884;14.541.846.800.000.300;227.628.933.692.323
64;Ein kleiner Roman;Ebner-Eschenbach, Marie von;1889;f;Roman;26368;5.786.359.300.000.010;21.944.627.199.635.900
65;Unsühnbar;Ebner-Eschenbach, Marie von;1890;f;Roman;57988;1.327.980.730.000.040;2.290.095.761.192.040
66;Agave;Ebner-Eschenbach, Marie von;1903;f;Roman;42219;9.277.230.900.000.230;21.974.065.941.875.000
67;Amalie. Eine wahre Geschichte in Briefen;Ehrmann, Marianne;1788;f;Roman;118040;23.819.472.099.999.400;20.179.152.914.265.800
68;Ninas Briefe an ihren Geliebten;Ehrmann, Marianne;1788;f;Roman;44039;8.445.631.600.000.230;191.776.189.286.774
69;Ahnung und Gegenwart;Eichendorff, Joseph von;1815;m;Roman;97126;239.344.075.999.992;2.464.263.698.700.570
70;Dichter und ihre Gesellen;Eichendorff, Joseph von;1834;m;Roman;76115;18.425.581.799.999.900;24.207.556.723.379
71;Herr Lorenz Stark;Engel, Johann Jakob;1795;m;Roman;44202;9.064.654.100.000.390;2.050.733.926.066.780
72;Der Taifun;Essig, Hermann;1919;m;Roman;99367;23.417.119.499.999.000;23.566.294.141.917.300
73;Reich und arm;Felder, Franz Michael;1868;m;Roman;112578;24.842.950.799.999.500;22.067.322.922.773.100
74;Vierzehn Tage in Paris;Fischer, Caroline Auguste;1801;f;Roman;13477;2.719.437.299.999.990;2.017.835.794.316.240
75;Gustavs Verirrungen;Fischer, Caroline Auguste;1801;f;Roman;19829;4.018.847.500.000.000;20.267.524.837.359.400
76;Die Honigmonathe;Fischer, Caroline Auguste;1802;f;Roman;33548;6.484.150.500.000.020;19.327.979.313.222.900
77;Der Günstling;Fischer, Caroline Auguste;1808;f;Roman;16603;33.122.370.000.000.000;19.949.629.585.014.700
78;Margarethe;Fischer, Caroline Auguste;1812;f;Roman;37967;758.692.860.000.001;19.982.955.197.935.000
79;Hannchens Hin- und Herzüge;Fischer, Christian August;1807;m;Roman;26154;5.346.022.899.999.970;20.440.555.555.555.400
82;Seefahrt ist not!;Fock, Gorch;1913;m;Roman;75497;16.763.911.100.000.000;22.204.738.069.062.300
83;Vor dem Sturm;Fontane, Theodor;1878;m;Roman;223243;49.023.498.700.009.700;21.959.702.521.472.000
84;Grete Minde;Fontane, Theodor;1879;m;Roman;32666;7.006.920.400.000.010;21.450.194.085.593.600
85;L Adultera;Fontane, Theodor;1880;m;Roman;44016;9.010.085.200.000.130;2.047.002.271.901.150
86;Ellernklipp;Fontane, Theodor;1881;m;Roman;38711;809.492.060.000.013;2.091.116.375.190.540
87;Schach von Wuthenow;Fontane, Theodor;1882;m;Roman;41862;8.874.745.900.000.240;21.200.004.538.723.000
88;Graf Petöfy;Fontane, Theodor;1884;m;Roman;59484;1.291.052.310.000.030;2.170.419.457.333.120
89;Unterm Birnbaum;Fontane, Theodor;1885;m;Roman;32707;6.831.133.899.999.980;20.885.846.760.632.200
90;Cécile;Fontane, Theodor;1887;m;Roman;55415;1.199.247.720.000.050;21.641.211.224.398.700
91;Irrungen, Wirrungen;Fontane, Theodor;1887;m;Roman;51573;11.193.752.700.000.200;21.704.676.284.102.600
92;Stine;Fontane, Theodor;1890;m;Roman;29682;6.211.599.699.999.940;20.927.160.231.790.100
93;Quitt;Fontane, Theodor;1890;m;Roman;80207;1.742.109.919.999.940;21.720.173.052.226.600
94;Unwiederbringlich;Fontane, Theodor;1892;m;Roman;81260;17.669.318.699.999.800;21.744.177.578.144.000
95;Frau Jenny Treibel;Fontane, Theodor;1892;m;Roman;59303;12.654.754.000.000.400;21.339.146.417.551.300
96;Effi Briest;Fontane, Theodor;1894;m;Roman;95396;2.096.338.619.999.900;2.197.512.075.977.920
97;Die Poggenpuhls;Fontane, Theodor;1895;m;Roman;31779;7.032.235.899.999.990;2.212.856.257.276.810
98;Der Stechlin;Fontane, Theodor;1897;m;Roman;125070;2.635.025.489.999.800;2.106.840.561.285.520
99;Mathilde Möhring;Fontane, Theodor;1906;m;Roman;32864;6.851.130.199.999.980;20.846.915.165.530.600
100;Rodrich;Fouqué, Caroline de la Motte;1807;f;Roman;66375;14.104.795.800.000.400;21.250.163.163.842.400
101;Die Frau des Falkensteins;Fouqué, Caroline de la Motte;1810;f;Roman;66689;1.457.774.240.000.050;21.859.290.737.603.700
102;Magie der Natur;Fouqué, Caroline de la Motte;1812;f;Roman;41957;9.173.165.800.000.130;21.863.254.760.826.800
103;Der Spanier und der Freiwillige in Paris;Fouqué, Caroline de la Motte;1814;f;Roman;34390;7.652.915.300.000.010;22.253.315.789.473.700
104;Resignation;Fouqué, Caroline de la Motte;1829;f;Roman;137835;2.867.941.890.000.040;20.807.065.621.939.500
105;Judith die Kluswirtin;François, Louise von;1862;f;Roman;45207;10.436.388.500.000.300;2.308.577.985.710.250
106;Die Geschichte meines Urgroßvaters;François, Louise von;1868;f;Roman;32170;7.658.718.800.000.020;23.807.021.448.554.600
107;Die letzte Reckenburgerin;François, Louise von;1871;f;Roman;92094;20.823.601.099.999.400;2.261.124.622.668.080
108;Stufenjahre eines Glücklichen;François, Louise von;1877;f;Roman;163874;37.122.732.800.003.000;22.653.216.983.782.100
109;Der Katzenjunker;François, Louise von;1879;f;Roman;42583;969.590.880.000.015;22.769.435.690.299.300
110;Leib Weihnachtskuchen und sein Kind;Franzos, Karl Emil;1896;m;Roman;59209;12.745.729.700.000.600;2.152.667.618.098.710
111;Der Pojaz;Franzos, Karl Emil;1905;m;Roman;139905;3.062.752.150.000.060;2.189.165.612.379.870
112;Wir Frauen haben kein Vaterland;Frapan, Ilse;1899;f;Roman;24163;50.674.831.999.999.700;2.097.207.797.045.050
113;Arbeit;Frapan, Ilse;1903;f;Roman;75560;17.756.888.099.999.700;2.350.038.128.639.460
114;Soll und Haben;Freytag, Gustav;1855;m;Roman;286598;691.654.520.999.989;24.133.264.049.295.100
115;Die verlorene Handschrift;Freytag, Gustav;1864;m;Roman;256064;5.898.061.170.000.560;23.033.543.059.549.800
117;Virginia oder Die Kolonie von Kentucky;Frölich, Henriette;1819;f;Roman;56975;12.976.630.000.000.400;2.277.600.702.062.390
118;Schloß Hubertus;Ganghofer, Ludwig;1895;m;Roman;161645;3.902.783.590.000.170;2.414.416.523.864.120
119;Der Ochsenkrieg;Ganghofer, Ludwig;1914;m;Roman;174909;4.145.384.220.000.670;2.370.023.395.022.940
120;Mademoiselle de Maupin;Gautier, Théophile;1835;m;Roman;65450;13.997.198.200.000.300;21.386.093.506.494.000
121;Die Regulatoren in Arkansas. Aus dem Waldleben Amerikas;Gerstäcker, Friedrich;1846;m;Roman;146603;3.373.482.230.000.100;23.011.004.072.222.900
122;Die Flußpiraten des Mississippi. Aus dem Waldleben Amerikas.;Gerstäcker, Friedrich;1848;m;Roman;158064;36.401.281.100.000.800;23.029.457.118.636.000
124;Die Leiden des jungen Werther;Goethe, Johann Wolfgang;1774;m;Roman;39505;825.505.510.000.018;20.896.228.578.661.300
125;Wilhelm Meisters Lehrjahre;Goethe, Johann Wolfgang;1795;m;Roman;194211;41.746.669.200.004.400;2.149.552.249.872.790
126;Die Wahlverwandtschaften;Goethe, Johann Wolfgang;1809;m;Roman;79163;16.935.388.500.000.100;21.393.060.520.698.000
127;Wilhelm Meisters Wanderjahre;Goethe, Johann Wolfgang;1821;m;Roman;147362;31.477.087.900.000.500;2.136.038.320.598.290
128;Die toten Seelen oder Tschitschikows Abenteuer;Gogol, Nikolaj Vasilevic;1842;m;Roman;139789;3.158.712.720.000.030;22.596.289.550.680.100
129;Oblomow;Gontscharow, Iwan ;1859;m;Roman;187426;4.106.195.270.000.620;21.908.354.603.953.700
130;Wie Uli der Knecht glücklich wird;Gotthelf, Jeremias;1841;m;Roman;133773;2.634.214.179.999.970;1.969.167.305.809.070
131;Geld und Geist;Gotthelf, Jeremias;1843;m;Roman;136250;2.669.210.809.999.990;19.590.538.055.045.800
132;Uli der Pächter;Gotthelf, Jeremias;1849;m;Roman;149766;31.588.611.700.002.800;21.091.977.952.274.100
133;Wally, die Zweiflerin;Gutzkow, Karl;1835;m;Roman;36183;7.945.790.500.000.130;2.196.001.022.579.700
136;Europäisches Sklavenleben;Hackländer, Friedrich Wilhelm von;1854;m;Roman;360529;8.221.555.929.998.560;2.280.414.593.555.180
137;Gräfin Faustine;Hahn-Hahn, Ida Gräfin von;1840;f;Roman;78046;16.457.039.300.000.300;2.108.633.280.373.160
138;Sibylle;Hahn-Hahn, Ida Gräfin von;1846;f;Roman;111328;22.681.554.499.999.500;20.373.629.724.776.800
