;Titel;Autor_normalisiert;Jahr;Geschlecht;all_words_count;anteil_Bilder;anteil_Taschen;anteil_Pflanzen;anteil_Kleidung;anteil_Schmuck;anteil_Gerueche;anteil_Pflanzenteile;anteil_helligkeitsspezifisch;anteil_Dekorationsgegenstaende;anteil_Gartenanlagen;anteil_Kunstobjekte;anteil_Ornamente;anteil_Muster;anteil_aussehensspezifisch;anteil_Emotionen;anteil_Wege;anteil_Stoffe;anteil_Kleidungsteile;anteil_Heimtextilien;anteil_oberflaechenspezifisch;anteil_Gruenflaechen;anteil_Aufmachung;anteil_Zimmer;anteil_Farben;anteil_Moebel;anteil_Kommunikationsverben;anteil_Holz;anteil_Charaktereigenschaften;anteil_Gebaeudeteile;anteil_formspezifisch;anteil_Waelder;anteil_Koerperteile;anteil_Haushaltsgegenstaende;anteil_Bauwerke;anteil_konkret;anteil_abstrakt;anteil_['rot', 'blau', 'grün'];anteil_['Kleid', 'Mantel', 'Hut'];anteil_['Finger', 'Ohr', 'Nase']
287;Problematische Naturen. Zweite Abtheilung (Durch Nacht zum Licht);Spielhagen, Friedrich;1861;m;169341;5.3147200028345177e-05;0.0002480202667989;0.0009802705783005;0.0008798814226914;0.000188967822323;0.0006141454225497;7.08629333711269e-05;0.0013109642673658;0.0;0.0004665143113599;3.543146668556345e-05;1.1810488895187816e-05;4.133671113315736e-05;0.0014999320896888;0.0248256476576847;0.0006436716447877;0.0003661251557508;8.857866671390863e-05;0.0003838408890936;0.0003070727112748;0.0002007783112181;0.0003070727112748;0.0019959726232867;0.0015294583119268;0.0018542467565444;0.004783248002551;8.857866671390863e-05;0.0145446170744237;0.0042931127134007;0.0004724195558075;0.0004724195558075;0.0120585091619867;0.0007853975115299;0.0016534684453262;0.0339020083736366;0.0393702647321085;0.0003306936890652;0.0003543146668556;0.0004192723557791
288;Hammer und Amboß;Spielhagen, Friedrich;1869;m;271263;6.635626679643003e-05;0.0001327125335928;0.0011243700762728;0.0009031825202847;0.0001400854521257;0.0005271636751049;9.216148166170838e-05;0.0015335670548508;1.1059377799405006e-05;0.0005161042973055;1.474583706587334e-05;2.949167413174668e-05;8.110210386230337e-05;0.0015888639438478;0.0183217025543476;0.000921614816617;0.0002543656893863;0.0001032208594611;0.0003354677932486;0.0003317813339821;0.0004718667861079;0.0003096625783833;0.0018911536036982;0.0013897951434585;0.0016625931291772;0.0038117988815282;7.37291853293667e-05;0.0130574387218308;0.0041398937562439;0.000512417838039;0.000457120949042;0.0124934104540611;0.0005824605641019;0.001913272359297;0.0346047931343382;0.0313791412761784;0.0003502136303144;0.0002875438227845;0.0004091969785779
289;Zum Zeitvertreib;Spielhagen, Friedrich;1897;m;57097;7.00562201166436e-05;0.0001576264952624;0.0007005622011664;0.0016288071177119;0.0001050843301749;0.0006305059810497;1.75140550291609e-05;0.0007355903112247;5.2542165087482705e-05;8.757027514580451e-05;1.75140550291609e-05;0.0;8.757027514580451e-05;0.0014886946774786;0.0198434243480393;0.0005429357059039;0.0001751405502916;0.0001225983852041;0.000437851375729;0.0002977389354957;0.0002977389354957;0.0001926546053207;0.0026971644744907;0.0006129919260206;0.0024694817591116;0.0034502688407446;0.0;0.0158502198013906;0.0032225861253656;0.0003152529905248;5.2542165087482705e-05;0.0104909189624673;0.000437851375729;0.0016638352277702;0.0298089216596318;0.0356936441494299;0.0001576264952624;0.0007180762561955;0.0003152529905248
290;Faustulus;Spielhagen, Friedrich;1898;m;68144;4.4024418877670814e-05;8.804883775534163e-05;0.000528293026532;0.0010125616341864;7.33740314627847e-05;0.0006163418642873;2.9349612585113877e-05;0.0011006104719417;1.467480629255694e-05;0.000264146513266;2.9349612585113877e-05;0.0;8.804883775534163e-05;0.0017903263676919;0.0189891993425686;0.0004549189950692;0.0004989434139469;0.0001173984503404;0.0004108945761915;0.0003081709321436;0.000396219769899;0.0003668701573139;0.0017463019488142;0.0017169523362291;0.0024213430382718;0.0033458558347029;8.804883775534163e-05;0.0142492369100727;0.0035513031227987;0.0004108945761915;0.000132073256633;0.011857243484386;0.0007190655083352;0.0017756515613993;0.0326514440009391;0.0332384362526414;0.0005576426391171;0.0003375205447288;0.0003081709321436
291;Der Jude;Spindler, Carl;1827;m;262221;5.339007936053939e-05;0.0001983060090534;0.00056822298748;0.0012165310940008;0.0005567822561884;0.0005186464852166;0.0001029665816238;0.0010601744330164;1.525430838872554e-05;0.0001296616213041;4.194934806899524e-05;2.288146258308831e-05;3.0508616777451083e-05;0.0011059373581826;0.0278772485803959;0.0006750031462011;0.0002783911280942;0.0002059331632477;0.0002211874716365;0.000274577550997;0.0003355947845519;0.0002898318593857;0.0013995827946655;0.0009572078513925;0.0012546668649726;0.0065936748010266;4.576292516617662e-05;0.0174890645676738;0.0022767055270172;0.0003737305555237;0.0002288146258308;0.013519130809508;0.0006788167232982;0.003386456462297;0.032022606885032;0.0453663131480697;0.0001258480442069;0.0003203404761632;0.0007283932255616
292;Conrad;Spitteler, Carl;1898;m;41703;7.193727069994964e-05;0.0002158118120998;0.0007433517972328;0.0016305781358655;2.3979090233316548e-05;0.000911205428866;7.193727069994964e-05;0.000911205428866;0.0;0.0004316236241996;4.7958180466633096e-05;0.0;0.0001438745413998;0.0009591636093326;0.0243147974965829;0.0008632472483993;0.000383665443733;0.0002637699925664;0.0004795818046663;0.0001438745413998;0.0006953936167661;0.0001198954511665;0.0022540344819317;0.0012469126921324;0.0017504735870321;0.0031892190010311;0.0001438745413998;0.0181042131261539;0.0052034625806296;0.0005994772558329;0.0002158118120998;0.0162818022684219;0.0013428290530657;0.0017504735870321;0.0399012061482387;0.0424190106227369;0.000383665443733;0.0003596863534997;0.0011270172409658
293;Imago;Spitteler, Carl;1906;m;46916;0.0001492028305908;8.525876033762469e-05;0.0003410350413504;0.0006394407025321;0.0002557762810128;0.0010231051240514;0.0;0.0008525876033762;8.525876033762469e-05;0.000106573450422;0.0;2.1314690084406173e-05;0.0001492028305908;0.0005754966322789;0.0305865802711228;0.0007246994628698;0.0001278881405064;0.0003836644215193;0.0002984056611816;0.0001705175206752;4.2629380168812346e-05;0.0001492028305908;0.0009165316736294;0.0003623497314349;0.000895216983545;0.0035808679341802;0.0;0.0209736550430556;0.0031545741324921;0.0005328672521101;0.0001492028305908;0.0086750788643533;0.0003623497314349;0.000895216983545;0.0221246483076136;0.0515602353141785;6.394407025321852e-05;0.0002344615909284;0.0004689231818569
294;Die Mädchenfeinde;Spitteler, Carl;1907;m;26213;0.0002288940601991;0.0003814901003318;0.0010300232708961;0.0015259604013275;0.0002288940601991;0.0008774272307633;7.629802006637928e-05;0.001220768321062;3.814901003318964e-05;0.000419639110365;3.814901003318964e-05;7.629802006637928e-05;0.0002670430702323;0.0010681722809293;0.0164422233243047;0.0008011292106969;0.0003433410902987;0.0003051920802655;0.0006485331705642;0.0003814901003318;0.0006866821805974;0.0002670430702323;0.0012970663411284;0.00263228169229;0.0018311524815931;0.0034715599130202;0.0001144470300995;0.0160225842139396;0.0043871361538168;0.0005340861404646;0.0009537252508297;0.0148781139129439;0.001411513371228;0.001411513371228;0.0403616526151146;0.0324648075382443;0.0008011292106969;0.0001525960401327;0.001411513371228
295;Heidis Lehr- und Wanderjahre;Spyri, Johanna;1880;f;51187;0.0;0.0006056225213433;0.0021880555609822;0.0016410416707367;7.814484146365288e-05;0.00042979662805;1.953621036591322e-05;0.0015433606189071;0.0;0.0001172172621954;1.953621036591322e-05;0.0;0.0;0.0009768105182956;0.0170551116494422;0.0007423759939047;0.0005274776798796;5.860863109773966e-05;0.0005079414695137;0.0001758258932932;0.0005860863109773;0.0001758258932932;0.0028522867134233;0.0020317658780549;0.0033016195518393;0.0033993006036689;7.814484146365288e-05;0.0095532068689315;0.006525094262215;0.00042979662805;0.0001172172621954;0.0089085119268564;0.0010744915701252;0.0033016195518393;0.0390138121007287;0.0266083185183738;0.0005860863109773;0.0005665501006114;0.0002344345243909
296;Heidi kann brauchen, was es gelernt hat;Spyri, Johanna;1881;f;37366;5.352459455119628e-05;0.0005084836482363;0.0025156559439062;0.0002943852700315;5.352459455119628e-05;0.0011240164855751;2.676229727559814e-05;0.0015789755392602;0.0;5.352459455119628e-05;0.0;0.0;0.0;0.0007761066209923;0.0238719691698335;0.0007225820264411;0.0010972541882995;2.676229727559814e-05;0.0007225820264411;0.0004014344591339;0.0008563935128191;0.0001338114863779;0.0009099181073703;0.0017395493229138;0.0036931970240325;0.0029706149975913;2.676229727559814e-05;0.0086442220200181;0.0027832789166622;0.0003746721618583;2.676229727559814e-05;0.0086709843172937;0.0005084836482363;0.0029170904030401;0.0325964780816785;0.0325161911898517;0.0006155328373387;0.0001070491891023;0.0001338114863779
297;Die Mappe meines Urgroßvaters;Stifter, Adalbert;1841;m;70588;4.250014166713889e-05;0.0001416671388904;0.0044058480194933;0.0019975066583555;0.0003541678472261;0.0003400011333371;0.0001133337111123;0.0019550065166883;1.4166713889046296e-05;0.001246670822236;0.0001416671388904;7.083356944523148e-05;7.083356944523148e-05;0.0010908369694565;0.0113050376834589;0.0024366747889159;0.0007366691222304;2.8333427778092593e-05;0.0003541678472261;0.0002975009916699;0.0025641752139173;0.0002408341361137;0.0025075083583611;0.0032866776222587;0.002167507225024;0.0018133393777979;0.0008925029750099;0.0075366917889726;0.00460418201394;0.0002691675638918;0.0027341757805859;0.0051000170000566;0.0010483368277894;0.005836686122287;0.0470901569671898;0.0188417294724315;0.000935003116677;0.0008500028333427;0.0001275004250014
298;Feldblumen;Stifter, Adalbert;1841;m;37247;0.0002147823985824;0.0001610867989368;0.001503476790077;0.0007517383950385;0.0003221735978736;0.0003221735978736;0.0001073911992912;0.0020941283861787;2.684779982280452e-05;0.0016914113888366;8.054339946841357e-05;0.0;2.684779982280452e-05;0.0008591295943297;0.0246731280371573;0.0003758691975192;0.0002953257980508;5.369559964560904e-05;0.000268477998228;0.0002953257980508;0.000402716997342;0.0001879345987596;0.0018524981877735;0.0021478239858243;0.001637715789191;0.0024431497838752;0.0;0.0157328106961634;0.0032217359787365;0.0001610867989368;0.0002416301984052;0.0094772733374499;0.0008322817945069;0.001369237790963;0.0309823609955164;0.0404059387333208;0.0006174993959245;0.0004564125969876;0.0002953257980508
299;Die Narrenburg;Stifter, Adalbert;1843;m;35136;0.0001423041894353;0.0001423041894353;0.0022768670309653;0.0011953551912568;0.0003130692167577;0.0006830601092896;0.0002276867030965;0.0023337887067395;8.538251366120219e-05;0.0022484061930783;0.0001423041894353;8.538251366120219e-05;2.8460837887067395e-05;0.0014799635701275;0.0178734061930783;0.0016222677595628;0.0005692167577413;8.538251366120219e-05;0.0007115209471766;0.0002846083788706;0.0006261384335154;0.0003984517304189;0.0024476320582877;0.0045821948998178;0.0013091985428051;0.0025045537340619;0.0001707650273224;0.0112704918032786;0.0048952641165755;0.0004838342440801;0.0006261384335154;0.0093636156648451;0.0005976775956284;0.0046391165755919;0.044797358834244;0.029143897996357;0.0026183970856102;0.0005976775956284;0.0003415300546448
300;Der Hagestolz;Stifter, Adalbert;1845;m;39763;2.5149007871639463e-05;0.0007041722204059;0.0031436259839549;0.0014334934486834;0.000553278173176;0.0004275331338178;7.54470236149184e-05;0.0019113245982445;0.0;0.0015089404722983;0.0;2.5149007871639463e-05;2.5149007871639463e-05;0.0012574503935819;0.0108895204084198;0.0019867716218595;0.0010562583306088;0.0001257450393581;0.0004275331338178;0.0003772351180745;0.0012323013857103;0.0003772351180745;0.0030178809445967;0.0021376656690893;0.0022634107084475;0.0021376656690893;0.0002011920629731;0.0080225335110529;0.0068908281568292;0.0005029801574327;0.0005784271810477;0.0062872519679098;0.0008299172597641;0.0039986922515906;0.0433820385785781;0.0189120539194728;0.0008802152755073;0.0005784271810477;7.54470236149184e-05
301;Zwei Schwestern;Stifter, Adalbert;1846;m;49639;0.0002215999516509;0.000483490803602;0.0022965813171095;0.001208727009005;0.0001813090513507;0.0003021817522512;8.058180060033442e-05;0.0017727996132073;0.0;0.0022361449666592;4.029090030016721e-05;0.0001007272507504;0.0;0.0011885815588549;0.014706178609561;0.0017123632627571;0.0005640726042023;8.058180060033442e-05;0.0007856725558532;0.0001813090513507;0.0012691633594552;0.000261890851951;0.0034247265255142;0.002900944821612;0.002900944821612;0.0033441447249138;0.0002820363021011;0.0098309796732407;0.0064062531477265;0.0002820363021011;0.0003223272024013;0.0048550534861701;0.000483490803602;0.0041499627309172;0.04097584560527;0.0245371582828018;0.000725236205403;0.0006245089546525;0.0001007272507504
302;Der Nachsommer;Stifter, Adalbert;1857;m;248357;0.0004147255764886;0.000245614176367;0.0035754981739995;0.0008898480815922;0.0006200751337791;0.0003140640287972;0.0001489790905833;0.0011314357960516;1.610584763062849e-05;0.0027621528686527;0.0002899052573513;0.0001489790905833;3.221169526125698e-05;0.0009421920863917;0.0128162282520726;0.0015823995297092;0.0003583551097814;0.0001207938572297;0.0002858787954436;0.0001771643239369;0.001256256115189;0.0002214554049211;0.0028225497972676;0.0014495262867565;0.00166695522977;0.0037164243407675;0.0004791489670111;0.0093615239353028;0.0055645703563821;0.0001852172477522;0.0007771071481778;0.0045056108746683;0.0004388843479346;0.0046948545843282;0.0381185148797899;0.0221777521873754;0.0004751225051035;0.000410699114581;6.844985243017108e-05
303;Witiko;Stifter, Adalbert;1865;m;276665;3.614479605298827e-06;0.0001807239802649;0.0013698877704082;0.0019373610684401;0.0004301230730305;6.506063289537889e-05;6.144615329008006e-05;0.0011168741980373;1.084343881589648e-05;0.0001879529394755;7.228959210597654e-06;1.8072398026494135e-05;4.698823486888475e-05;0.00096868053422;0.0088771619106139;0.0012867547394863;0.0007337393598756;0.0001373502250013;0.0001120488677642;0.0001373502250013;0.0012289230658016;0.0005313285019789;0.002056638895415;0.003072307664504;0.0018361556394918;0.0061012415737444;0.0003072307664504;0.0051795492743932;0.0029602587967397;0.0002927728480292;0.0028626678473966;0.0050241266513653;0.0003975927565828;0.0055012379592648;0.0348833426707389;0.0140567111850071;0.0009433791769829;0.0004265085934252;5.42171940794824e-05
304;Der Schimmelreiter;Storm, Theodor;1888;m;38334;0.0;0.0004695570511817;0.0006782490739291;0.001095633119424;0.0004434705483382;0.0007565085824594;0.0;0.0014086711535451;2.608650284342881e-05;5.217300568685762e-05;0.0;0.0;0.0001304325142171;0.0016173631762925;0.009678092554912;0.0007043355767725;0.0004434705483382;0.0002347785255908;0.0002608650284342;0.0003130380341211;0.0004173840454948;0.0003912975426514;0.0019564877132571;0.0013043251421714;0.002373871758752;0.0046173110032868;0.000182605519904;0.0086607189440183;0.0033651588668023;0.000730422079616;0.0;0.0179736004591224;0.0010434601137371;0.0038086294151406;0.0421818750978243;0.0183388114989304;0.0003912975426514;0.0002608650284342;0.0007565085824594
305;Frau Sorge;Sudermann, Hermann;1887;m;66245;6.038191561627293e-05;0.0001811457468488;0.0019775077364329;0.00178126651068;0.0003170050569854;0.0006491055928749;0.0002566231413691;0.0028379500339648;0.0;0.0010264925654766;0.0;4.5286436712204695e-05;0.0001207638312325;0.0014340704958864;0.0269303343648577;0.0010415880443807;0.0004226734093139;0.0001358593101366;0.0005434372405464;0.0003924824515057;0.0004679598460261;0.0004075779304098;0.0015397388482149;0.0028530455128688;0.0016755981583515;0.0062797192240923;6.038191561627293e-05;0.0127707751528417;0.0036531058947845;0.0003773869726017;0.0005887236772586;0.0163484036531058;0.000905728734244;0.0028228545550607;0.044924145218507;0.0397011095176994;0.0005132462827383;0.0004226734093139;0.0004981508038342
306;Jons und Erdme;Sudermann, Hermann;1917;m;40510;4.937052579609973e-05;0.0004443347321648;0.0009874105159219;0.0016045420883732;0.0001727968402863;0.001036781041718;2.4685262898049865e-05;0.0008886694643297;2.4685262898049865e-05;0.0003949642063687;0.0;4.937052579609973e-05;4.937052579609973e-05;0.0010861515675141;0.0161441619353246;0.0012589484078005;0.0008146136756356;7.405578869414959e-05;0.0002468526289804;9.874105159219946e-05;0.0009133547272278;0.0003949642063687;0.0009133547272278;0.0018020241915576;0.0022710441866205;0.0036287336460133;0.0003209084176746;0.0090101209577882;0.0036534189089113;0.0004690199950629;0.0003949642063687;0.0093063441125647;0.0005924463095531;0.0030362873364601;0.0333744754381634;0.0251542828931128;0.0004937052579609;0.0004937052579609;0.0003455936805726
307;Die Waffen nieder!;Suttner, Bertha von;1889;f;129146;7.743174391773652e-05;0.0002400384061449;0.0006117107769501;0.0003871587195886;0.0002090657085778;0.000410388242764;3.0972697567094604e-05;0.0006581698233007;0.0;5.420222074241556e-05;1.5486348783547302e-05;7.743174391773651e-06;1.5486348783547302e-05;0.0006349403001254;0.029896396326638;0.000441360940331;0.0001393771390519;0.0002090657085778;0.0001084044414848;0.0001471203134436;0.000340699673238;3.871587195886826e-05;0.0009059514038375;0.0008904650550539;0.0008052901367444;0.003453455778731;7.743174391773651e-06;0.0123890790268378;0.0014170009136945;0.0001626066622272;3.871587195886826e-05;0.0050640360522199;0.0002245520573614;0.0012001920307249;0.015494091957939;0.0422854753534759;0.0005265358586406;0.0001161476158766;0.0001238907902683
308;Marthas Kinder;Suttner, Bertha von;1902;f;85043;2.3517514669049775e-05;0.0001058288160107;0.0009759768587655;0.000517385322719;0.0004350740213774;0.0005291440800536;5.879378667262444e-05;0.0009289418294274;5.879378667262444e-05;0.0003527627200357;2.3517514669049775e-05;1.1758757334524887e-05;4.703502933809955e-05;0.0010465294027727;0.0291146831602836;0.0005996966240607;0.000246933904025;5.879378667262444e-05;0.0004233152640428;0.0001411050880142;0.0002234163893559;0.0001293463306797;0.0015168796961537;0.0010582881601072;0.0017520548428442;0.0030455181496419;8.231130134167421e-05;0.012523076561269;0.0021636113495525;0.0001528638453488;7.055254400714933e-05;0.0062321413872981;0.0004468327787119;0.0011993932481215;0.0216125959808567;0.0416377597215526;0.000270451418694;0.0001528638453488;0.0001293463306797
309;Andreas Vöst;Thoma, Ludwig;1906;m;77482;9.034356366639994e-05;0.0001935933507137;0.0006194987222838;0.0009808729769494;0.00014196845719;0.0004129991481892;1.2906223380914275e-05;0.0005162489352365;1.2906223380914275e-05;0.0002839369143801;0.0;1.2906223380914275e-05;6.453111690457139e-05;0.000748560956093;0.0141323146021011;0.0007872796262357;0.0002194057974755;0.00014196845719;0.0001548746805709;0.0001161560104282;0.0004904364884747;0.0001290622338091;0.0011099352107586;0.0009163418600449;0.0016132779226142;0.0039751168013215;5.162489352365711e-05;0.01143491391549;0.0028651815905629;0.0005549676053793;0.0001548746805709;0.0067112361580754;0.000296843137761;0.0022973077618027;0.0227020469270282;0.0255672285175911;0.0003871867014274;0.0003484680312846;0.0003355618079037
310;Der Wittiber;Thoma, Ludwig;1911;m;54886;1.8219582407171223e-05;0.0001639762416645;0.000218634988886;0.0010020770323944;0.0001457566592573;0.0005465874722151;0.0;0.0004919287249936;0.0;0.0;0.0;1.8219582407171223e-05;0.0001457566592573;0.0008198812083227;0.0085996428961848;0.0007287832962868;0.0002915133185147;0.0001821958240717;0.000109317494443;0.000109317494443;0.0002732937361075;0.000109317494443;0.0011842728564661;0.0003643916481434;0.0013300295157234;0.0023321065481179;0.0002368545712932;0.0091097912035856;0.0027147177786685;0.0018401778231242;0.0003097329009219;0.0071056371387967;0.0008745399555442;0.0024414240425609;0.0237765550413584;0.0177094340997704;0.0001275370768501;0.0003826112305505;0.0002550741537003
311;Geschichte des Herrn William Lovell;Tieck, Ludwig;1795;m;160378;0.0002369402287096;8.729376847198493e-05;0.0010537604908403;0.0002556460362393;0.0001932933444736;0.0002868223821222;7.482323011884423e-05;0.0013717592188454;3.117634588285176e-05;0.001116113182606;1.2470538353140703e-05;6.235269176570352e-06;6.858796094227387e-05;0.0009976430682512;0.0403172504957039;0.0008667024155432;0.0001184701143548;3.117634588285176e-05;9.352903764855529e-05;7.482323011884423e-05;0.0002369402287096;0.0001184701143548;0.000667173801893;0.0008791729538964;0.000361645612241;0.0027372831685143;1.8705807529711056e-05;0.0168227562383868;0.0016710521393208;0.000274351843769;0.0003367045355347;0.0063724450984549;0.0001621169985908;0.0012221127586077;0.0192981581014852;0.0571400067340907;0.0002618813054159;0.0001247053835314;0.0001745875369439
312;Franz Sternbalds Wanderungen;Tieck, Ludwig;1798;m;102629;0.0010620779701643;8.769451129797621e-05;0.002377495639634;0.0006918122557951;0.0002435958647166;0.0009743834588664;0.0001461575188299;0.0012666984965263;1.9487669177328047e-05;0.0007892506016817;9.743834588664022e-05;2.9231503765992068e-05;5.8463007531984137e-05;0.0008769451129797;0.0355942277523896;0.000925664285923;8.769451129797621e-05;3.897533835465609e-05;0.0001364136842412;0.0002533396993052;0.0009159204513344;0.0002046205263619;0.0006723245866178;0.0015297820304202;0.0005943739099085;0.0037611201512243;0.0001461575188299;0.0164475927856648;0.0015590135341862;0.0002338520301279;0.0012959300002923;0.0088668894756842;0.0002435958647166;0.0021046682711514;0.0285299476756082;0.0520418205380545;0.0005651424061425;0.0002435958647166;0.0002143643609506
313;Der junge Tischlermeister;Tieck, Ludwig;1836;m;125550;0.0001115093588211;7.964954201513341e-05;0.0013699721226602;0.0007646356033452;0.0001194743130227;0.0005017921146953;0.0001592990840302;0.0007885304659498;7.964954201513341e-06;0.000653126244524;2.3894862604540025e-05;1.5929908403026682e-05;2.3894862604540025e-05;0.0011708482676224;0.0265551573078454;0.0005177220230983;0.0002469135802469;5.5754679410593386e-05;0.000310633213859;0.0001433691756272;0.0002787733970529;0.0002150537634408;0.0014416567104739;0.0008841099163679;0.0011230585424133;0.0043170051772202;0.0001513341298287;0.017037037037037;0.0023735563520509;0.0003185981680605;0.0004301075268817;0.0052409398645957;0.0003185981680605;0.0019354838709677;0.0217761847869374;0.0435921943448825;0.0003743528474711;0.0002309836718438;0.0002070888092393
314;Vittoria Accorombona;Tieck, Ludwig;1840;m;102102;4.897063720593133e-05;9.794127441186264e-06;0.0008912655971479;0.0005582652641476;0.0004603239897357;0.0006072359013535;1.9588254882372528e-05;0.0011557070380599;0.0;0.0004603239897357;9.794127441186264e-06;0.0;6.855889208830385e-05;0.0015376780082662;0.0311453252629723;0.0003525885878827;6.855889208830385e-05;3.9176509764745056e-05;3.9176509764745056e-05;0.0002840296957944;0.0002546473134708;0.0002546473134708;0.0015180897533838;0.0008912655971479;0.0008520890873832;0.0042016806722689;1.9588254882372528e-05;0.021194491782727;0.0023212082035611;0.0002252649311472;0.0003525885878827;0.0067971244441832;0.0002448531860296;0.0033006209476797;0.0236430236430236;0.0523398170456994;0.0002546473134708;0.0003623827153238;0.0002350590585884
315;Julchen Grünthal;Unger, Friederike Helene;1784;f;97871;7.152271868071236e-05;3.06525937203053e-05;0.0014611069673345;0.000807184967968;0.0001226103748812;0.0007560973117675;0.0001532629686015;0.0005619642182055;1.0217531240101768e-05;0.0003780486558837;3.06525937203053e-05;2.0435062480203533e-05;1.0217531240101768e-05;0.0010932758426908;0.0327574051557662;0.0006334869368863;0.0001328279061213;4.0870124960407066e-05;0.0001226103748812;0.0001941330935619;0.0001634804998416;0.0001736980310817;0.001113710905171;0.0007765323742477;0.0008276200304482;0.0032798275280726;0.0006539219993665;0.0207824585423669;0.0015632822797355;0.0003780486558837;6.13051874406106e-05;0.0075201029927149;0.0002554382810025;0.0016450225296563;0.0217633415414167;0.0535398636981332;7.152271868071236e-05;0.0003269609996832;0.000204350624802
316;Albert und Albertine;Unger, Friederike Helene;1804;f;44779;0.0001786551731838;8.932758659192925e-05;0.0007369525893834;0.0006922887960874;0.0006922887960874;0.0008709439692713;0.0001786551731838;0.0016525603519506;0.0;0.0001339913798878;4.4663793295964626e-05;0.0;0.0001116594832399;0.001161258625695;0.0324482458295183;0.0005359655195515;0.0001786551731838;0.0001563232765358;0.0001563232765358;0.0002679827597757;0.0001563232765358;0.0002456508631278;0.001183590522343;0.0006922887960874;0.001138926729047;0.003662431050269;2.2331896647982313e-05;0.0193617543938006;0.0014069094888228;0.0002903146564237;0.0018535474217825;0.0083967931396413;0.0002679827597757;0.0013845775921749;0.0248777328658523;0.0518100002233189;6.699568994394694e-05;0.0002679827597757;0.0002456508631278
317;Bekenntnisse einer schönen Seele;Unger, Friederike Helene;1806;f;49440;8.090614886731392e-05;2.022653721682848e-05;0.0001213592233009;4.045307443365696e-05;0.0001213592233009;0.0002022653721682;2.022653721682848e-05;0.000343851132686;0.0;0.0001820388349514;0.0;0.0;0.0;0.0003640776699029;0.0191343042071197;0.0005461165048543;0.0001011326860841;2.022653721682848e-05;2.022653721682848e-05;0.0001011326860841;6.0679611650485434e-05;0.0;0.0002224919093851;0.0001820388349514;0.000343851132686;0.0021844660194174;0.0;0.0107402912621359;0.0003033980582524;0.0001618122977346;2.022653721682848e-05;0.0026699029126213;0.0;0.000343851132686;0.006593851132686;0.0298745954692556;4.045307443365696e-05;0.0;6.0679611650485434e-05
318;Die Zerissenen;Ungern-Sternberg, Alexander von;1832;m;43254;0.0002080732417811;6.935774726036899e-05;0.0017339436815092;0.0014796319415545;0.0004855042308225;0.0013640356961205;0.0001849539926943;0.0026124751468072;2.311924908678966e-05;0.0003699079853886;0.0001155962454339;2.311924908678966e-05;6.935774726036899e-05;0.0019882554214639;0.0217320941415822;0.0007860544689508;0.0006704582235169;0.0001387154945207;0.0007398159707772;0.0004623849817357;0.0001849539926943;0.0005779812271697;0.0021038516668978;0.0021732094141582;0.0021269709159846;0.0032135756230637;4.623849817357932e-05;0.0153511813936283;0.0037915568502335;0.0002774309890414;0.0003930272344754;0.0153743006427151;0.0007166967216904;0.0022194479123318;0.0435104267813381;0.0370832755352106;0.000323669487215;0.0004623849817357;0.0006473389744301
319;Auch Einer 1;Vischer, Friedrich Theodor;1879;m;81585;0.0001225715511429;0.000208371636943;0.0006986578415149;0.0009928295642581;0.0004657718943433;0.0007231721517435;4.902862045719188e-05;0.0013850585279156;0.0;0.0;7.354293068578783e-05;0.0001225715511429;4.902862045719188e-05;0.001360544217687;0.0131274131274131;0.0006128577557148;0.0003922289636575;0.0001716001716001;0.0002451431022859;0.0005638291352577;0.0001593430164858;0.0003186860329717;0.0005270576699148;0.0015321443892872;0.0013237727523441;0.0027210884353741;0.0002574002574002;0.0153337010479867;0.0016302016302016;0.0010418581847153;0.0006373720659434;0.0110559539130967;0.001360544217687;0.0012257155114297;0.0293068578782864;0.0284611141753998;0.000208371636943;0.0002574002574002;0.0006864006864006
320;Auch Einer 2;Vischer, Friedrich Theodor;1879;m;78163;0.0003198444276703;0.0001151439939613;0.0007676266264089;0.0005629261926998;0.0003198444276703;0.0008315955119429;1.2793777106815244e-05;0.001240996379361;0.0;0.0001279377710681;3.838133132044573e-05;1.2793777106815244e-05;8.955643974770672e-05;0.0009979146143315;0.0169389608894233;0.0005373386384862;0.0002814630963499;0.0001151439939613;0.0001151439939613;0.000345431981884;0.0002430817650294;0.0002942568734567;0.0006524826324475;0.0013433465962156;0.0011258523853997;0.0025715491984698;0.0001279377710681;0.0156979645100623;0.0019574478973427;0.000754832849302;0.0001791128794954;0.0090835817458388;0.0006268950782339;0.0017911287949541;0.0250118342438238;0.0326369253994856;0.0002942568734567;0.0001919066566022;0.0005629261926998
321;Ini;Voß, Julius;1810;m;58511;0.0003247252653347;1.7090803438669653e-05;0.0010596298131975;0.0001709080343866;0.0004443608894054;0.0007178137444241;0.0001196356240706;0.0008716309753721;0.0;0.0005298149065987;0.0003418160687733;0.0;1.7090803438669653e-05;0.0014868998991642;0.0194664251166447;0.0007349045478627;0.00025636205158;5.127241031600895e-05;0.00025636205158;0.000102544820632;0.0005469057100374;0.0001196356240706;0.0008887217788108;0.0004785424962827;0.0003247252653347;0.0019483515920083;8.545401719334827e-05;0.0137922783750064;0.0026490745329937;0.0004785424962827;0.0002734528550187;0.0052126950487942;0.0003247252653347;0.0014868998991642;0.0203722376988942;0.0332587034916511;0.000102544820632;1.7090803438669653e-05;0.0001879988378253
