;Titel;Autor_normalisiert;Jahr;Geschlecht;all_words_count;anteil_Bilder;anteil_Taschen;anteil_Pflanzen;anteil_Kleidung;anteil_Schmuck;anteil_Gerueche;anteil_Pflanzenteile;anteil_helligkeitsspezifisch;anteil_Dekorationsgegenstaende;anteil_Gartenanlagen;anteil_Kunstobjekte;anteil_Ornamente;anteil_Muster;anteil_aussehensspezifisch;anteil_Emotionen;anteil_Wege;anteil_Stoffe;anteil_Kleidungsteile;anteil_Heimtextilien;anteil_oberflaechenspezifisch;anteil_Gruenflaechen;anteil_Aufmachung;anteil_Zimmer;anteil_Farben;anteil_Moebel;anteil_Kommunikationsverben;anteil_Holz;anteil_Charaktereigenschaften;anteil_Gebaeudeteile;anteil_formspezifisch;anteil_Waelder;anteil_Koerperteile;anteil_Haushaltsgegenstaende;anteil_Bauwerke;anteil_konkret;anteil_abstrakt;anteil_['rot', 'blau', 'grün'];anteil_['Kleid', 'Mantel', 'Hut'];anteil_['Finger', 'Ohr', 'Nase']
10;Isabella von Ägypten;Arnim, Ludwig Achim von;1812;m;40155;0.0;0.000249034989416;0.0008965259618976;0.0019922799153281;0.0006972979703648;0.0005478769767152;2.4903498941601293e-05;0.0013198854439048;4.980699788320259e-05;0.00062258747354;4.980699788320259e-05;0.0;0.0;0.0007969119661312;0.0292865147553231;0.00062258747354;0.0001992279915328;2.4903498941601293e-05;0.0003984559830656;7.471049682480388e-05;0.0002739384883576;0.000747104968248;0.0022413149047441;0.0013198854439048;0.0018926659195616;0.0046320508031378;0.0;0.0150417133607271;0.0036857178433569;0.0003984559830656;9.961399576640516e-05;0.0101357240692317;0.0010459469555472;0.0030382268708753;0.0334453990785705;0.0443282281160503;0.0002988419872992;0.0009463329597808;0.0006474909724816
11;Die Kronenwächter. Erster Band.;Arnim, Ludwig Achim von;1817;m;99938;0.0001400868538493;0.0002901799115451;0.0010206327923312;0.001560967800036;0.0010806700154095;0.000600372230783;0.0001000620384638;0.0009405831615601;2.0012407692769515e-05;0.000860533530789;8.004963077107806e-05;1.0006203846384758e-05;3.0018611539154277e-05;0.0011407072384878;0.0258660369429046;0.0007904901038643;0.0006804218615541;0.0002401488923132;0.0002901799115451;0.000210130280774;0.0003101923192379;0.000210130280774;0.0014208809461866;0.0014408933538794;0.0012908002961836;0.0047929716424182;0.0001100682423102;0.0137685364926254;0.0037623326462406;0.0004102543577017;0.0002901799115451;0.0084952670655806;0.0011407072384878;0.0054033500770477;0.0343713102123316;0.03963457343553;0.0005103163961656;0.000730452880786;0.0003302047269306
12;Die Kronenwächter. Zweiter Band.;Arnim, Ludwig Achim von;1854;m;85502;0.0001637388599097;0.0005379991111319;0.0013683890435311;0.0015906060676943;0.0007485205024443;0.0007953030338471;0.0001403475942083;0.0009941287923089;1.169563285069355e-05;0.0003859558840728;2.33912657013871e-05;0.0;2.33912657013871e-05;0.0016490842319477;0.026104652522748;0.0006198685410867;0.0003976515169235;0.000187130125611;0.0002689995555659;0.0002105213913124;0.0006315641739374;0.0003742602512221;0.0011578676522186;0.0017426492947533;0.0017777361933054;0.0047250356716801;0.0001286519613576;0.0139528899908774;0.0035788636523122;0.0003391733526701;0.0005496947439825;0.0104675914013707;0.0010526069565624;0.0034619073238052;0.0353792893733479;0.0400575425136254;0.0007485205024443;0.0004912165797291;0.0006315641739374
13;Aus dem Leben einer Frau;Aston, Louise;1847;f;23511;0.0;8.506656458678916e-05;0.000978265492748;0.000978265492748;0.0010633320573348;0.0010633320573348;0.0004253328229339;0.0011483986219216;0.0;0.0008931989281612;4.253328229339458e-05;4.253328229339458e-05;0.0;0.0026795967844838;0.0436816809153162;0.0002977329760537;0.0004678661052273;0.0001275998468801;0.0005529326698141;0.0004253328229339;0.0002126664114669;0.0005529326698141;0.0028922631959508;0.0018289311386159;0.001190931904215;0.0031474628897111;8.506656458678916e-05;0.0238611713665943;0.0033601293011781;0.0002551996937603;4.253328229339458e-05;0.011866785759857;0.0005103993875207;0.001403598315682;0.035472757432691;0.0675428522819105;0.0003402662583471;0.0002551996937603;0.0004678661052273
14;Lydia;Aston, Louise;1848;f;50225;5.973120955699353e-05;3.982080637132902e-05;0.0009955201592832;0.0008959681433549;0.0001592832254853;0.0004977600796416;1.991040318566451e-05;0.0009556993529118;0.0;0.0007167745146839;7.964161274265804e-05;1.991040318566451e-05;5.973120955699353e-05;0.0017720258835241;0.0307018417122946;0.0007765057242409;0.0003782976605276;7.964161274265804e-05;0.0001791936286709;3.982080637132902e-05;3.982080637132902e-05;0.0002986560477849;0.0023892483822797;0.0008959681433549;0.0016525634644101;0.0057341961174713;0.0;0.0166849178695868;0.0032852165256346;0.0005176704828272;0.0001393728222996;0.014594325535092;0.0004181184668989;0.0008362369337979;0.0327924340467894;0.0473867595818815;0.0001791936286709;0.0004977600796416;0.0004579392732702
15;Revolution und Contrerevolution;Aston, Louise;1849;f;66708;0.0001199256460994;5.996282304970918e-05;0.0004497211728728;0.0007345445823589;0.0001648977633867;0.0003297955267734;5.996282304970918e-05;0.0017539125742039;1.4990705762427296e-05;0.0002698327037236;2.998141152485459e-05;2.998141152485459e-05;2.998141152485459e-05;0.0010943215206571;0.0212118486538346;0.0006895724650716;0.0003597769382982;0.0001049349403369;0.0003597769382982;0.0002848234094861;7.495352881213648e-05;0.0003747676440606;0.0016789590453918;0.0010043772860826;0.0012742099898063;0.0047970258439767;2.998141152485459e-05;0.0133267374227978;0.0037176950290819;0.0003597769382982;2.998141152485459e-05;0.0123373508424776;0.0002398512921988;0.0020837081009773;0.0301463092882412;0.0345385860766324;0.0001798884691491;0.0002848234094861;0.0002998141152485
16;Ivo der Hajrle;Auerbach, Berthold;1843;m;51053;3.917497502595342e-05;0.0003133998002076;0.0011948367382915;0.0011948367382915;7.834995005190685e-05;0.0005680371378763;5.876246253893013e-05;0.0010381368381877;1.958748751297671e-05;0.0002546373376686;1.958748751297671e-05;0.0;1.958748751297671e-05;0.000803086988032;0.0190978003251522;0.0009206119131099;0.0001566999001038;0.0001958748751297;0.0001762873876167;0.0001371124125908;0.0010577243257007;0.0001175249250778;0.0007247370379801;0.0009206119131099;0.0016845239261159;0.0037607976024915;0.0001958748751297;0.0120463048204806;0.0019391612637846;0.0009206119131099;0.0003133998002076;0.0101267310442089;0.0007443245254931;0.0057391338413021;0.0316729673084833;0.0311441051456329;0.0002546373376686;0.0004113372377725;0.0002742248251816
17;Der Lautenbacher;Auerbach, Berthold;1843;m;25744;3.884400248601616e-05;0.00019422001243;0.0017868241143567;0.0008934120571783;0.0003107520198881;0.0004272840273461;0.000116532007458;0.0006215040397762;0.0;0.0008934120571783;0.0;7.768800497203231e-05;0.000155376009944;0.0006991920447482;0.0146830329397141;0.0007380360472343;7.768800497203231e-05;0.0;7.768800497203231e-05;7.768800497203231e-05;0.0017479801118707;3.884400248601616e-05;0.0007768800497203;0.0004272840273461;0.0008545680546923;0.005010876320696;0.00019422001243;0.0129738968303293;0.0012818520820385;0.0009322560596643;0.0003495960223741;0.0078076444996892;0.0008157240522063;0.0020975761342448;0.0245105655686761;0.0276569297700435;7.768800497203231e-05;0.000155376009944;0.000233064014916
18;Die Frau Professorin;Auerbach, Berthold;1846;m;44072;0.0001134507170085;0.0001361408604102;0.0014975494645126;0.0007941550190597;4.53802868034126e-05;0.0005899437284443;0.0002722817208204;0.0006353240152477;4.53802868034126e-05;0.0001588310038119;0.0;2.26901434017063e-05;0.0;0.0006353240152477;0.0213514249410056;0.0007260845888546;0.0001134507170085;0.0001134507170085;0.0001134507170085;0.0001134507170085;0.0005218732982392;9.07605736068252e-05;0.0015656198947177;0.0004764930114358;0.0011798874568887;0.0042657469595207;0.0001134507170085;0.012819931021964;0.0026547467779996;0.000612633871846;0.0006580141586494;0.0078280994735886;0.0008622254492648;0.0036531130876747;0.026343256489381;0.0341713559629696;0.000226901434017;0.0002495915774187;0.0003176620076238
19;Lucifer;Auerbach, Berthold;1849;m;47787;4.185238663234771e-05;0.0001046309665808;0.0013811287588674;0.0008579739259631;0.0003975976730073;0.0008161215393307;0.0001464833532132;0.0005859334128528;0.0;0.0002720405131102;0.0;2.0926193316173856e-05;0.0;0.0007742691526984;0.0134764684956159;0.0010672358591248;0.000251114319794;0.0001464833532132;0.0001883357398455;0.0001046309665808;0.0009416786992278;6.277857994852157e-05;0.001088162052441;0.0006487119928013;0.0011509406323895;0.003620231443698;0.000125557159897;0.0105049490447192;0.002050766944985;0.0009835310858601;0.0005859334128528;0.0077636177203005;0.0003975976730073;0.0038713457634921;0.0268273798313348;0.0239814175403352;0.0002301881264779;0.0001674095465293;0.0003348190930587
20;Brosi und Moni;Auerbach, Berthold;1853;m;39845;5.0194503701844646e-05;0.0004015560296147;0.0006023340444221;0.0013050570962479;7.529175555276697e-05;0.0004517505333166;0.0001254862592546;0.0008282093110804;0.0;0.0005270422888693;5.0194503701844646e-05;2.5097251850922323e-05;0.0;0.0005521395407202;0.0204793575103526;0.0008031120592295;0.0004266532814656;7.529175555276697e-05;0.0002760697703601;5.0194503701844646e-05;0.0006023340444221;0.0001003890074036;0.0011293763332915;0.0005019450370184;0.0014807378592044;0.0035638097628309;0.0003262642740619;0.0117957083699334;0.0021332664073283;0.0002760697703601;0.0013050570962479;0.0071276195256619;0.0007529175555276;0.0045676998368678;0.0269293512360396;0.0322750658802861;0.0001003890074036;0.0002760697703601;0.0002258752666583
21;Die Geschichte des Diethelm von Buchenberg;Auerbach, Berthold;1853;m;65279;7.659431057461052e-05;0.0003063772422984;0.0003216961044133;0.0012255089691937;0.0001072320348044;0.0005974356224819;4.595658634476631e-05;0.000582116760367;0.0;1.5318862114922102e-05;3.0637724229844205e-05;4.595658634476631e-05;3.0637724229844205e-05;0.0008425374163207;0.020251535715927;0.0007965808299759;0.0003982904149879;4.595658634476631e-05;0.0001225508969193;7.659431057461052e-05;0.000382971552873;0.0001991452074939;0.0013786975903429;0.0006893487951714;0.0013327410039982;0.0050245867736944;0.0001072320348044;0.0122857274161675;0.0015931616599518;0.0006280733467118;0.0001072320348044;0.0128678441765345;0.0004136092771028;0.0029565403881799;0.0283245760504909;0.0325372631320945;0.000183826345379;0.0005361601740222;0.0003982904149879
22;Der Lehnhold;Auerbach, Berthold;1854;m;56248;3.5556819798037265e-05;0.0001955625088892;0.0006933579860617;0.0009422557246479;0.0002133409187882;0.0003733466078793;5.3335229697055894e-05;0.000995590954345;0.0;0.0001777840989901;0.0;1.7778409899018633e-05;5.3335229697055894e-05;0.0007111363959607;0.0179206371782107;0.0012089318731332;0.0001244488692931;7.111363959607453e-05;0.0;5.3335229697055894e-05;0.0006222443464656;0.0001600056890911;0.0013689375622244;0.0006578011662636;0.0009066989048499;0.0041601479163703;0.0001066704593941;0.0141871710994168;0.0017600625800028;0.0006400227563646;0.0006755795761627;0.0078758355852652;0.0003733466078793;0.0024889773858626;0.0235563931161996;0.0321078082776276;0.0001600056890911;0.0004444602474754;0.0002844545583842
23;Barfüßele;Auerbach, Berthold;1856;m;62911;1.589547138020378e-05;0.0005722369696873;0.0013829060100777;0.0016531290235411;0.000238432070703;0.0004609686700259;0.000158954713802;0.0016849199663016;0.0;6.358188552081512e-05;0.0;1.589547138020378e-05;3.179094276040756e-05;0.0006040279124477;0.0158636804374433;0.001017310168333;0.0003338048989842;3.179094276040756e-05;0.0001112682996614;7.94773569010189e-05;0.0007152962121091;0.0001430592424218;0.0009696237541924;0.0013352195959371;0.0008742509259112;0.0039738678450509;0.0001748501851822;0.0096167601850232;0.0013352195959371;0.0005722369696873;0.0006835052693487;0.007884153804581;0.0006835052693487;0.0031631988046605;0.026990510403586;0.0254804406224666;0.000158954713802;0.0005245505555467;0.0003338048989842
24;Die gute Schule;Bahr, Hermann;1890;m;53603;3.731134451429957e-05;9.327836128574891e-05;0.0009887506296289;0.0011006846631718;0.0004104247896572;0.0010260619741432;5.596701677144936e-05;0.0010820289909146;0.0;0.0004104247896572;0.0001119340335428;1.8655672257149786e-05;0.0001119340335428;0.0013058970580004;0.045967576441617;0.0002984907561143;0.0004663918064287;0.0001865567225714;0.0002984907561143;0.0003917691174001;0.0004477361341715;0.0002052123948286;0.0004477361341715;0.0019215342424864;0.0007835382348002;0.0014924537805719;3.731134451429957e-05;0.0212301550286364;0.0008954722683431;0.0005596701677144;9.327836128574891e-05;0.0068466317183739;0.0004477361341715;0.0005410144954573;0.0216219241460366;0.0671977314702535;0.0004290804619144;0.0003544577728858;0.0007648825625431
25;Flammetti;Ball, Hugo;1918;m;45852;2.1809299485300533e-05;0.0009377998778679;0.0003271394922795;0.0029006368315449;0.0003707580912501;0.0007851347814708;2.1809299485300533e-05;0.0006978975835296;2.1809299485300533e-05;0.000218092994853;0.0;4.3618598970601065e-05;4.3618598970601065e-05;0.0013521765680886;0.0138489051731658;0.0003925673907354;0.0003925673907354;0.0009159905783826;0.0007633254819855;0.0001526650963971;4.3618598970601065e-05;0.0006324696850737;0.0020936927505888;0.0021373113495594;0.0045581435924278;0.0031623484253685;2.1809299485300533e-05;0.011907877518974;0.0032932042222803;0.0005234231876472;4.3618598970601065e-05;0.014590421355666;0.0021591206490447;0.0015702695629416;0.0420265201081741;0.0257567826921399;0.0006106603855884;0.0005016138881619;0.0010468463752944
26;Evremont;Bernhardi, Sophie;1822;f;223456;2.2375769726478592e-05;2.685092367177431e-05;0.0003759129314048;0.0004833166260919;0.0001566303880853;0.0003132607761707;4.92266933982529e-05;0.0011277387942145;0.0;0.0004430402405842;8.950307890591436e-06;8.950307890591436e-06;8.950307890591436e-06;0.0008905556351138;0.0390815194042675;0.000590720320779;0.0001029285407418;4.4751539452957184e-05;0.0001790061578118;0.0001700558499212;0.0001163540025776;0.0001924316196477;0.0015618287269082;0.0004877917800372;0.0008413289417155;0.0041574180151797;3.132607761707003e-05;0.0163029858227123;0.0019198410425318;0.0002148073893741;0.000107403694687;0.0082656093369611;0.0002013819275383;0.0024568595159673;0.0214001861664041;0.0553845052269798;6.265215523414006e-05;0.0002103322354288;0.0001208291565229
27;Stilpe. Ein Roman aus der Froschperspektive;Bierbaum, Otto Julius;1897;m;59192;3.378834977699689e-05;0.0004561427219894;0.0009629679686444;0.0020104068117313;0.0001689417488849;0.0008278145695364;0.0002703067982159;0.0007940262197594;0.0;0.0005237194215434;1.6894174888498446e-05;1.6894174888498446e-05;0.0001858359237734;0.0015542640897418;0.0144952020543316;0.0003885660224354;0.0002703067982159;0.0002365184484389;0.0004561427219894;0.0001013650493309;0.0001013650493309;0.0004561427219894;0.0008109203946479;0.0022469252601702;0.0021962427355047;0.0023820786592782;1.6894174888498446e-05;0.0130254088390323;0.0011656980673063;0.0003885660224354;8.447087444249223e-05;0.0072476010271658;0.0009629679686444;0.0011150155426408;0.0260677118529531;0.0275206108933639;0.0005744019462089;0.0003716718475469;0.0003885660224354
28;Größenwahn;Bleibtreu, Karl;1888;m;242977;8.231231762677126e-05;0.0002428213369989;0.0010330195862159;0.0007696201698103;0.0004403708993032;0.001057713281504;9.877478115212551e-05;0.0012182223008762;8.231231762677126e-06;0.0001646246352535;8.231231762677126e-05;2.880931116936994e-05;7.408108586409413e-05;0.0014075406314177;0.0213024278018084;0.0003992147404898;0.0002839774958123;0.0001193528605588;0.0001358153240841;0.000267515032287;0.000304555575219;0.000292208727575;0.0004527177469472;0.0014610436378751;0.0007531577062849;0.002103079715364;7.81967017454327e-05;0.0189853360606147;0.0014198874790618;0.000790198249217;0.0002057807940669;0.0078855200286446;0.000547376912218;0.0010535976656226;0.023158570564292;0.0402877638624231;0.000267515032287;0.0002387057211176;0.0004362552834218
29;Fanny Förster;Boy-Ed, Ida;1889;f;69867;8.587745287474773e-05;0.0002003807233744;0.001345413428371;0.0010162165256845;0.0002290065409993;0.0006154550789356;0.0002433194498117;0.0011020939785592;2.862581762491591e-05;0.0004437001731861;7.156454406228978e-05;0.0;0.0001145032704996;0.0014599166988707;0.0350809394993344;0.0007872099846851;0.0003578227203114;0.0001288161793121;0.0002862581762491;0.0002003807233744;0.0006011421701232;0.0003721356291239;0.0022041879571185;0.0017604877839323;0.002189875048306;0.0047375728169235;2.862581762491591e-05;0.0177909456538852;0.0036211659295518;0.0004150743555612;0.0002146936321868;0.0142985959036454;0.0004723259908111;0.0018606781456195;0.036755549830392;0.0528718851532196;0.0002576323586242;0.0003435098114989;0.0003721356291239
30;Vor der Ehe;Boy-Ed, Ida;1915;f;79405;0.0;0.0005163402808387;0.0004659656192934;0.00105786789245;0.000327435300044;0.0007934009193375;7.556199231786411e-05;0.001624582834834;0.0;0.0002518733077262;3.778099615893206e-05;1.2593665386310686e-05;3.778099615893206e-05;0.0016497701656066;0.0255147660726654;0.0006044959385429;0.0002896543038851;0.0001007493230904;0.0001763113154083;0.0002014986461809;0.0001385303192494;0.0002770606384988;0.0010326805616774;0.001826081481015;0.0015490208425162;0.004420376550595;7.556199231786411e-05;0.0173036962407908;0.0028713557080788;0.000528933946225;8.81556577041748e-05;0.0085762861280775;0.0002266859769535;0.0016749574963793;0.0270889742459542;0.0428184623134563;0.000327435300044;0.0004785592846798;0.0003526226308166
