;filename;Titel;Autor_normalisiert;Jahr;all_words_count;anteil_abstrakt;ant_narr_abstrakt;ant_narr_konkret;ant_dir_rede;ant_ind_rede;ant_rep;ant_free;abstconc_narr
27;k00100000039;Stilpe. Ein Roman aus der Froschperspektive;Bierbaum, Otto Julius;1897;59192;0.027520610893363967;0.01119032858028518;0.013205207687538748;0.4533604831560284;0.0639128989361702;0.07262577570921985;0.0323720079787234;12.794.270.303.781.600
28;k00100000040;Größenwahn;Bleibtreu, Karl;1888;242977;0.04028776386242319;0.016671740851245204;0.013456737502283385;0.3303934894209904;0.04833198775008261;0.07430004121913249;0.035189556911358416;1.294.728.228.703.670
29;k00100000041;Fanny Förster;Boy-Ed, Ida;1889;69867;0.05287188515321969;0.017721189510444005;0.026636010671756718;0.2976482349860751;0.09007164790174002;0.08482302254171528;0.045702316060079504;14.725.778.365.832.900
30;k00100000042;Vor der Ehe;Boy-Ed, Ida;1915;79405;0.04281846231345633;0.016444075233774256;0.017636909706690525;0.3178526219676689;0.08208304799850588;0.08177177364128743;0.1106061549316234;13.763.619.826.612.800
31;k00100000043;Lebenssucher;Braun, Lily;1915;115202;0.03722157601430531;0.014317364270910259;0.028134454582271245;0.3128752125175481;0.0317171417888863;0.06427377198366171;0.04043653397106234;14.645.314.338.804.800
32;k00100000044;Godwi oder Das steinerne Bild der Mutter;Brentano, Clemens;1801;132345;0.0518946692357097;0.01607481205305299;0.016044251573864673;0.5095110861705044;0.0709170561865104;0.07694956541701474;0.004846413335288903;12.936.155.644.520.800
33;k00100000046;Mittheilungen aus den geheimen Memoiren einer deutschen Sängerin;Bruckbräu, Friedrich Wilhelm;1829;93713;0.042512778376532605;0.011370271848439629;0.012651657691559074;0.314403993006803;0.08627358618752999;0.1023887384163851;0.003605301060755664;13.758.078.570.038.400
34;k00100000048;Robinson, der Jüngere 1;Campe, Johann Heinrich;1779;44844;0.03101864240478102;0.012028366571327822;0.009951808173020412;0.4006565694247557;0.11517943743937925;0.05731925688278744;0.03737969111392972;13.081.122.908.748.900
35;k00100000049;Robinson, der Jüngere 2;Campe, Johann Heinrich;1779;54308;0.030271783162701627;0.011466794075489728;0.009449487710357276;0.2526607763389587;0.12936904928864165;0.06490268492979914;0.023561310831658168;13.053.275.468.492.800
36;k00100000052;Mathias Bichler;Christ, Lena;1914;69342;0.026044821320411873;0.010911840968020742;0.02936473638720829;0.34958981819960144;0.06438203758267823;0.06534789040626947;0.00361889159219004;14.453.094.641.313.700
37;k00100000053;Die Rumplhanni;Christ, Lena;1916;51114;0.020659701842939308;0.01183508072296906;0.030520357625265324;0.4893193558189;0.015815861440291706;0.0486022485566697;0.005271953813430568;14.706.429.214.639.200
38;k00100000054;Madam Bäurin;Christ, Lena;1920;34740;0.03080023028209557;0.01607802966196054;0.02226873914398967;0.3790917691579943;0.05205771050141912;0.07317880794701986;0.01128192999053926;15.205.133.389.747.400
39;k00100000055;Jungfer Mutter;Christen, Ada;1892;39223;0.03222598985289244;0.013475991262818851;0.0332086927548036;0.31066655459359505;0.05396318399596537;0.06846263763974111;0.052534252332520806;15.240.432.786.642.400
40;k00100000056;Liebe und Irrthum ;Clauren;1827;45910;0.05053365279895447;0.016302662472865808;0.01891640455411332;0.4572000728199527;0.1054250864736938;0.09932641543782997;0.041907882759876204;12.958.619.589.775.300
41;k00100000058;Was die Isar rauscht;Conrad, Michael Georg;1888;127054;0.03447353093960048;0.012031517858547095;0.0274129877482975;0.5068465500289749;0.03940591609639213;0.07045142302758804;0.03508246462778599;14.676.277.935.926.500
42;k00100000059;Adam Mensch;Conradi, Hermann;1889;93943;0.04116325857168708;0.017261041847878612;0.01923262781482556;0.3766530487442351;0.047648572666196695;0.07455600193651953;0.1321080034313767;13.353.763.216.391.300
43;k00100000062;Kampf um Rom;Dahn, Felix;1876;211785;0.036900630356257534;0.013569858236676521;0.023281867266402176;0.4992554209910498;0.047637861082830614;0.059307997386375724;0.005998419669042228;14.155.386.922.060.000
44;k00100000070;Wie Frauen werden;Dohm, Hedwig;1894;31430;0.04498886414253898;0.017109004739336492;0.022748815165876776;0.2696652719665272;0.07910564853556486;0.09372384937238494;0.05172594142259415;13.700.089.099.526.000
45;k00100000071;Sibilla Dalmar;Dohm, Hedwig;1896;80334;0.04019468718101925;0.014437385229119613;0.01939759799058615;0.4138122398643441;0.0652689995375366;0.08464107702584657;0.0201120189096141;13.834.720.222.892.900
46;k00100000072;Schicksale einer Seele;Dohm, Hedwig;1899;87609;0.04072640938716342;0.015294417537598776;0.021648883871672558;0.3829154474343527;0.06431809053875724;0.0862929600091801;0.01903914931053608;13.696.100.651.833.700
47;k00100000073;Christa Ruland;Dohm, Hedwig;1902;63343;0.03763636076598835;0.014607640195709447;0.020535378246142263;0.32741935483870965;0.06061394380853277;0.07438865764828304;0.03647242455775234;14.141.540.506.210.200
48;k00100000077;Großstadt;Duncker, Dora;1900;71647;0.03933172358926403;0.015689418231791114;0.02331653687585891;0.25846586478247513;0.08009783302218966;0.0995580972186119;0.11302786114327575;15.377.392.579.019.600
49;k00100000078;Bozena;Ebner-Eschenbach, Marie von;1876;62698;0.044339532361478834;0.017668610575151213;0.02284995772541028;0.26969348258186004;0.06416727691181086;0.08758761376713045;0.02155037137775918;13.885.148.611.442.400
50;k00100000079;Lotti, die Uhrmacherin;Ebner-Eschenbach, Marie von;1880;33548;0.0451591749135567;0.018377927969632443;0.01999814831960004;0.3697221350457475;0.06184969702822104;0.09060183955773364;0.023320377568017768;13.623.255.254.143.100
51;k00100000080;Das Gemeindekind;Ebner-Eschenbach, Marie von;1887;63884;0.03736459833448125;0.016019796822089087;0.02398628114960493;0.2954658885860176;0.05843283295581065;0.08293981392610793;0.02439180455842644;14.276.956.021.533.100
52;k00100000081;Ein kleiner Roman;Ebner-Eschenbach, Marie von;1889;26368;0.04376516990291263;0.015692191625801585;0.02052055827989438;0.4763397856342985;0.08174692049272117;0.10078387458006716;0.015197568389057753;13.824.023.387.401.000
53;k00100000082;Unsühnbar;Ebner-Eschenbach, Marie von;1890;57988;0.04747533972546044;0.017027263025128553;0.018434073930338604;0.3126343746047805;0.04628809915264955;0.07845369082247798;0.03080252378342678;13.855.212.234.403.800
54;k00100000083;Agave;Ebner-Eschenbach, Marie von;1903;42219;0.04367701745659537;0.018260244428468728;0.02102803738317757;0.34718204585606394;0.051719117047506265;0.08029664718787008;0.03154788483565979;13.370.670.740.474.400
55;k00100000084;Amalie. Eine wahre Geschichte in Briefen;Ehrmann, Marianne;1788;118040;0.06531684174855981;0.026465372197717246;0.0063662407348460725;0.6533897053133639;0.04991874837320877;0.08558504688676126;0.001899388678236523;12.261.742.303.669.400
56;k00100000085;Ninas Briefe an ihren Geliebten;Ehrmann, Marianne;1788;44039;0.07132314539385545;0.03330249768732655;0.009250693802035151;0.931305858088794;0.05888844664761009;0.0919781452400767;0.0011940514527626009;10.825.929.694.727.000
57;k00100000086;Ahnung und Gegenwart;Eichendorff, Joseph von;1815;97126;0.04271770689619669;0.01591920575145498;0.021810453041195936;0.29220128660315675;0.05507610644356172;0.07206383801455338;0.0009139803845748236;15.220.315.103.275.600
58;k00100000087;Dichter und ihre Gesellen;Eichendorff, Joseph von;1834;76115;0.03573540038100243;0.014208712556331184;0.025960943712998143;0.2830304655893069;0.052571581841346485;0.06730145957665573;0.003173964549945238;15.125.359.901.033.900
59;k00100000088;Herr Lorenz Stark;Engel, Johann Jakob;1795;44202;0.05008823130175105;0.01831483092034583;0.010334066608686757;0.523578401632563;0.106888754067619;0.12630301693232585;0.012152299009063668;13.010.409.269.964.600
60;k00100000090;Der Taifun;Essig, Hermann;1919;99367;0.03206295852747894;0.013006089093045615;0.019883025317807928;0.2036800365633808;0.059779434791072436;0.07721475061573749;0.06433292989479564;14.663.353.007.157.300
61;k00100000091;Reich und arm;Felder, Franz Michael;1868;112578;0.04411163815310274;0.018841569406506085;0.014185497889247578;0.305530124766394;0.0932456664674238;0.12581052759009434;0.053969599067845986;14.550.159.548.050.900
62;k00100000094;Vierzehn Tage in Paris;Fischer, Caroline Auguste;1801;13477;0.04630110558729688;0.013704888076747372;0.015989036089538604;0.52809785499025;0.07575488979495361;0.09070495774980797;0.012881876735803344;11.791.699.406.121.500
63;k00100000095;Gustavs Verirrungen;Fischer, Caroline Auguste;1801;19829;0.050784204952342524;0.016783614640622037;0.014887161008913331;0.5038109756097561;0.058889602053915274;0.08340019255455712;0.0106306161745828;11.769.084.961.122.700
64;k00100000096;Die Honigmonathe;Fischer, Caroline Auguste;1802;33548;0.05073327769166568;0.015832106038291605;0.009204712812960236;0.6900479030208232;0.05943885032750024;0.10966370124156807;0.0071121321732329655;1.189.899.300.441.820
65;k00100000097;Der Günstling;Fischer, Caroline Auguste;1808;16603;0.06245859182075528;0.017720106041579458;0.011720385098367515;0.5786638449329037;0.06406618248280506;0.11447260834014718;0.013130681544899237;11.479.567.461.978.400
66;k00100000098;Margarethe;Fischer, Caroline Auguste;1812;37967;0.045012774251323516;0.013743303051479151;0.012695085022129049;0.7678216538494772;0.11706126328523285;0.10559059880756934;0.004644431003197096;1.265.982.063.824.830
67;k00100000099;Hannchens Hin- und Herzüge;Fischer, Christian August;1807;26154;0.04687619484591267;0.01504024855246434;0.01885326931224403;0.5539014373716632;0.031257129819758166;0.06841775039926991;0.004163814738763404;1.015.570.893.941.530
