Wortfeld
Bilder
Taschen
Pflanzen
Kleidung
Schmuck
Gerueche
Pflanzenteile
helligkeitsspezifisch
Dekorationsgegenstaende
Gartenanlagen
Kunstobjekte
Ornamente
Muster
aussehensspezifisch
Emotionen
Wege
Stoffe
Kleidungsteile
Heimtextilien
oberflaechenspezifisch
Gruenflaechen
Aufmachung
Zimmer
Farben
Moebel
Kommunikationsverben
Holz
Charaktereigenschaften
Gebaeudeteile
formspezifisch
Waelder
Koerperteile
Haushaltsgegenstaende
Bauwerke
