;Titel;Autor_normalisiert;Jahr;Geschlecht;all_words_count
408;Ein Mönchsleben aus der empfindsamen Zeit - Band 2;Bronner, Franz Xaver;1796;m;109289
409;Ratsmädelgeschichten;Böhlau, Helene;1888;f;44752
410;Tagebuch einer Verlorenen;Böhme, Margarete;1905;f;86041
411;Ein Stadtjunker in Braunschweig;Carlssen, Egbert;1882;m;96055
412;Erinnerungen einer Überflüssigen;Christ, Lena;1912;f;68573
413;Mit den Augen des Westens;Conrad, Joseph;1913;m;111088
414;Der Geheimagent;Conrad, Joseph;1900;m;88848
415;Lord Jim;Conrad, Joseph;1920;m;123338
416;Majestät;Conrad, Michael Georg;1873;m;93594
417;Walhall;Dahn, Felix Dahn und Therese;1885;m;156135
418;Attila;Dahn, Felix;1882;m;58323
419;Die Bataver;Dahn, Felix;1890;m;70267
420;Bissula;Dahn, Felix;1876;m;69407
421;Vom Chiemgau;Dahn, Felix;1876;m;49749
422;Chlodovech;Dahn, Felix;1895;m;48717
423;Ebroin;Dahn, Felix;1876;m;76340
424;Felicitas;Dahn, Felix;1890;m;35211
425;Fredigundis;Dahn, Felix;1890;m;92702
426;Gelimer;Dahn, Felix;1876;m;82063
427;Die schlimmen Nonnen von Poitiers;Dahn, Felix;1876;m;39406
428;Sind Götter?;Dahn, Felix;1874;m;22944
429;Felix Dahn;Dahn, Felix;1834;m;42871
430;Der Vater und die Söhne;Dahn, Felix;1876;m;15298
431;Geschichten aus den vier Winden;Dauthendey, Max;1915;m;55450
432;Der Geist meines Vaters;Dauthendey, Max;1912;m;82436
433;Josa Gerth;Dauthendey, Max;1893;m;40155
434;Raubmenschen;Dauthendey, Max;1911;m;115281
435;Der Übergang;David, Jakob Julius;1902;m;50076
436;Brausejahre;Decken, A. v. d.;1885;m;83470
437;Zwei Menschen;Dehmel, Richard;1903;m;25832
438;Die Amazone;Dingelstedt, Franz;1869;m;73667
439;Die neuen Argonauten;Dingelstedt, Franz;1839;m;40141
440;Die erschreckliche Flut von 1634 und der Untergang von Alt-Nordstrand;Dose, Johannes;1896;m;62024
441;Der Muttersohn – Band I;Dose, Johannes;1904;m;89064
442;Der Muttersohn – Band II;Dose, Johannes;1904;m;82695
443;Marquise von Pompadour;Duncker, Dora;1912;f;74662
444;Eine ägyptische Königstochter Bd. I;Ebers, Georg;1864;m;201221
445;Per aspera;Ebers, Georg;1892;m;204946
446;Ein Wort;Ebers, Georg;1883;m;95407
447;Die Frau Bürgemeisterin;Ebers, Georg;1880;m;96309
448;Die Gred;Ebers, Georg;1889;m;146565
449;Homo sum;Ebers, Georg;1878;m;82788
450;Der Kaiser;Ebers, Georg;1881;m;168205
451;Die Geschichte meines Lebens;Ebers, Georg;1893;m;125253
452;Die Nilbraut;Ebers, Georg;1887;m;210977
453;Im Schmiedefeuer;Ebers, Georg;1894;m;152373
454;Die Schwestern;Ebers, Georg;1880;m;93913
455;Die Schwestern;Ebers, Georg;1880;m;94625
456;Serapis;Ebers, Georg;1885;m;106919
457;Uarda;Ebers, Georg;1877;m;176701
458;Die arme Kleine;Ebner-Eschenbach, Marie von;1903;f;58503
459;Nero;Eckstein, Ernst;1889;m;128787
460;Der kleine Johannes;Eeden, Frederik van;1860;m;154448
461;Streifzüge durch Celebes;Emmerich, Ferdinand;1920;m;53583
462;Hann Klüth;Engel, Georg;1905;m;91100
463;Die Last;Engel, Georg;1898;m;50075
464;Claus Störtebecker;Engel, Georg;1920;m;116772
465;Lieber Fritz;"Erckmann, Emile; Chatrian, Alessandre";1882;f;65641
466;Geschichte eines Anno 1813 Konskribierten;"Erckmann; Chatrian";1789;m;64857
467;Satiren, Fabeln, Epigramme, Aphorismen;Ernst, Otto;1904;m;63026
468;Asmus Sempers Jugendland;Ernst, Otto;1905;m;71641
469;Semper der Jüngling;Ernst, Otto;1908;m;81861
470;Semper der Mann;Ernst, Otto;1916;m;96800
471;Saat auf Hoffnung;Ernst, Paul;1916;m;70572
472;Freiheit die ich meine;Ertl, Emil;1909;m;193285
473;Die Leute vom Blauen Guguckshaus;Ertl, Emil;1906;m;118565
474;Auf der Wegwacht;Ertl, Emil;1911;m;126989
475;Die Erlkönigin;Eschstruth, Nataly von;1899;f;53598
476;Frühlingsstürme;Eschstruth, Nataly von;1899;f;58133
477;Gänseliesel;Eschstruth, Nataly von;1886;f;121875
478;Jung gefreit - 1;Eschstruth, Nataly von;1897;f;60419
479;Jung gefreit - 2;Eschstruth, Nataly von;1897;f;56105
480;Hofluft;Eschstruth, Nataly von;1889;f;49764
481;Hofluft;Eschstruth, Nataly von;1889;f;54807
482;Die Bären von Hohen-Esp;Eschstruth, Nataly von;1899;f;59824
483;Der Stern des Glücks;Eschstruth, Nataly von;1896;f;79550
484;Der verlorene Sohn;Eschstruth, Nataly von;1913;f;95467
485;Der Kampf um die Cheopspyramide;Eyth, Max;1902;m;213208
486;Hinter Pflug und Schraubstock;Eyth, Max;1899;m;154892
487;Der Schneider von Ulm;Eyth, Max;1906;m;229707
488;Aus dem Durchschnitt;Falke, Gustav;1900;m;32603
489;Der Mann im Nebel;Falke, Gustav;1899;m;38421
490;Die Kinder aus Ohlsens Gang;Falke, Gustav;1908;m;77450
491;Jungfer Therese;Federer, Heinrich;1913;m;79981
492;Maren;Fehrs, Johann Hinrich;1907;m;129467
493;Selim und Zoraïde;Fischer, Caroline Auguste;1802;f;6015
494;Wolf Eschenlohr;Flex, Walter;1919;m;20924
495;Die wunderbaren Begebenheiten des Grafen Alethes von Lindenstein;Fouqué, Friedrich Baron de la Motte;1817;m;66028
496;Alwin;Fouqué, Friedrich Baron de la Motte;1808;m;73210
497;Der Zauberring;Fouqué, Friedrich Baron de la Motte;1813;m;128445
498;Das Kind der Sühne;Franzos, Karl Emil;1920;m;109450
499;Der Stumme mit dem bösen Blick;Franzos, Karl Emil;1873;m;41340
500;Judith Trachtenberg;Franzos, Karl Emil;1891;m;59058
501;Ingo und Ingraban;Freytag, Gustav;1872;m;120096
502;Marcus König;Freytag, Gustav;1876;m;100979
503;Meister Robinson;"Fürst, Artur; Moszkowski, Alexander";1918;m;104855
504;Der Dorfapostel;Ganghofer, Ludwig;1900;m;96158
505;Edelweißkönig;Ganghofer, Ludwig;1886;m;70791
506;Fliegender Sommer;Ganghofer, Ludwig;1892;m;60397
507;Das Gotteslehen;Ganghofer, Ludwig;1899;m;90828
508;Der hohe Schein;Ganghofer, Ludwig;1904;m;157039
509;Der Jäger von Fall;Ganghofer, Ludwig;1883;m;58906
510;Der laufende Berg;Ganghofer, Ludwig;1897;m;76147
511;Ludwig Ganghofer;Ganghofer, Ludwig;1881;m;100775
512;Die Martinsklause;Ganghofer, Ludwig;1894;m;167082
513;Das Schweigen im Walde;Ganghofer, Ludwig;1899;m;105686
514;Die Trutze von Trutzberg;Ganghofer, Ludwig;1915;m;115493
515;Waldrausch;Ganghofer, Ludwig;1908;m;119497
516;Venetianische Novellen;Gaudy, Franz Freiherr von;1838;m;90983
517;Aus den Memoiren einer Berliner Range;Georgy, Ernst;1899;m;26740
518;Unter dem Äquator;Gerstäcker, Friedrich;1861;m;183620
519;Señor Aguila;Gerstäcker, Friedrich;1865;m;131630
520;Nach Amerika! Erster Band;Gerstäcker, Friedrich;1889;m;58811
521;Nach Amerika! Zweiter Band;Gerstäcker, Friedrich;1889;m;57849
522;Die Blauen und Gelben;Gerstäcker, Friedrich;1870;m;176044
523;General Franco;Gerstäcker, Friedrich;1865;m;130554
524;Germelshausen;Gerstäcker, Friedrich;1860;m;9487
525;Gold;Gerstäcker, Friedrich;1858;m;159907
526;Im Busch;Gerstäcker, Friedrich;1864;m;90058
527;Der Kunstreiter;Gerstäcker, Friedrich;1861;m;110117
528;Unter den Pehuenchen;Gerstäcker, Friedrich;1867;m;114856
529;Sträflinge;Gerstäcker, Friedrich;1850;m;81396
530;Tahiti;Gerstäcker, Friedrich;1854;m;141009
531;Jürnjakob Swehn der Amerikafahrer;Gillhoff, Johannes;1917;m;74150
532;Lemkes sel. Wwe.;Graeser, Erdmann;1907;m;85024
533;Meister Jakob und seine Kinder;Guttenbrunn;1918;m;85108
534;Hohenschwangau;Gutzkow, Karl;1867;m;221475
535;Die Heilige und ihr Narr;Günther, Agnes;1913;f;105946
536;Die Heilige und ihr Narr;Günther, Agnes;1913;f;117881
537;Der Augenblick des Glücks – Aus den Memoiren eines fürstlichen Hofes;Hackländer, Friedrich Wilhelm;1857;m;96797
538;Der letzte Bombardier;Hackländer, Friedrich Wilhelm;1870;m;255639
539;Das Geheimniß der Stadt;Hackländer, Friedrich Wilhelm;1868;m;147600
540;Handel und Wandel;Hackländer, Friedrich Wilhelm;1850;m;100417
541;Namenlose Geschichten - Erster Band;Hackländer, Friedrich Wilhelm;1851;m;83332
542;Namenlose Geschichten - Zweiter Band;Hackländer, Friedrich Wilhelm;1851;m;72973
543;Eugen Stillfried - Erster Band;Hackländer, Friedrich Wilhelm;1852;m;78384
544;Peregrin;Hahn-Hahn, Ida von;1864;f;157150
545;Aspasia;Hamerling, Robert;1876;m;195374
546;Schlumski;Harder, Agnes;1916;f;33522
547;Das Haus der Titanen;Hart, Hans;1913;m;83295
548;Der Krieg um den Wald / 1;Hartmann, Moritz;1850;m;52303
549;Der Mann im Mond;Hauff, Wilhelm;1826;m;80297
550;Elfriede;Hausrath, Adolf;1886;m;82180
551;Jetta;Hausrath, Adolf;1884;m;133067
552;Im Reiche der Homunkuliden;Hawel, Rudolf;1910;m;84742
553;Dr. Thorns Lebensabend;Hawel, Rudolf;1916;m;93380
554;Felix Notvest;Heer, Jakob Christoph;1901;m;75074
555;Der lange Balthasar;Heer, Jakob Christoph;1915;m;53932
556;Der König der Bernina;Heer, Jakob Christoph;1900;m;73455
557;An heiligen Wassern;Heer, Jakob Christoph;1898;m;92744
558;Laubgewind;Heer, Jakob Christoph;1908;m;77938
559;Die Molkenkur;Hegner, Ulrich;1812;m;67197
560;Apotheker Heinrich;Heiberg, Hermann;1885;m;84192
561;Grevinde;Heiberg, Hermann;1898;m;61177
562;Todsünden;Heiberg, Hermann;1891;m;87981
563;Menschen untereinander;Heiberg, Hermann;1880;m;69150
564;Eine vornehme Frau;Heiberg, Hermann;1895;m;59056
565;Karl der Zwölfte und seine Krieger;Heidenstam, Verner von;1898;m;118937
566;Aus dem Leben meiner alten Freundin;Heimburg, Wilhelmine;1879;f;82673
567;Trudchens Heirat;Heimburg, Wilhelmine;1894;f;51522
568;Die verborgene Schrift;Heine, Anselma;1918;f;151519
569;Die Versuchung;Heun, Karl Gottlieb Samuel;1920;m;20421
570;Ille mihi – Erster Band;Heyking, Elisabeth von;1912;f;51427
571;Ille mihi – Zweiter Band;Heyking, Elisabeth von;1912;f;45321
572;Liebe, Diplomatie und Holzhäuser;Heyking, Elisabeth von;1919;f;81777
573;Gegen den Strom;Heyse, Paul;1907;m;64959
574;Marienkind;Heyse, Paul;1892;m;29325
575;Crone Stäudlin;Heyse, Paul;1904;m;72792
576;Die Hassenburg;Hille, Peter;1905;m;31145
577;Die Geier-Wally;Hillern, Wilhemine von;1880;m;56916
578;Schwarzwaldau;Holtei, Karl von;1856;m;84011
579;Vor Jahr und Tag;Holzamer, Wilhelm;1908;m;68223
580;Ein Kind unserer Zeit;Horváth, Edmund Josef von;1830;m;42889
581;Enzio::Enzio;Huch, Friedrich;1911;m;108375
582;Mao;Huch, Friedrich;1907;m;45806
583;Pitt und Fox::Pitt und Fox;Huch, Friedrich;1909;m;107479
584;Der Oberhof;Immermann, Karl;1839;m;116314
585;Frau Marie Grubbe;Jacobsen, Jens Peter;1880;m;76549
586;Sechs Novellen;Jacobsen, Jens Peter;1880;m;31687
587;Die Pfeifer vom Dusenbach;Jensen, Wilhelm;1884;m;83191
588;Vor der Elbmündung;Jensen, Wilhelm;1905;m;64865
589;Nach Sonnenuntergang – Erstes Buch;Jensen, Wilhelm;1879;m;65957
590;Nach Sonnenuntergang – Zweites Buch;Jensen, Wilhelm;1879;m;57489
591;Aus See und Sand – Erster Band;Jensen, Wilhelm;1897;m;48579
592;Aus See und Sand – Zweiter Band;Jensen, Wilhelm;1897;m;48314
593;Der Tag von Stralsund;Jensen, Wilhelm;1890;m;27094
594;Auf dem Vestenstein;Jensen, Wilhelm;1912;m;45327
595;Kristiania Bohême;Jäger, Hans;1899;m;105746
596;Schwarze Diamanten;Jókai, Maurus;1877;m;152178
597;O Domina mea;Karrillon, Adam;1909;m;91840
598;Hubertus;Keller, Paul;1916;m;62669
599;Das letzte Märchen;Keller, Paul;1915;m;66526
600;Der Sohn der Hagar;Keller, Paul;1910;m;63139
601;Waldwinter;Keller, Paul;1902;m;79350
602;Bunte Herzen - Zwei Novellen::Bunte Herzen;Keyserling, Eduard von;1909;m;26628
603;Fräulein Rosa Herz;Keyserling, Eduard von;1887;m;95920
604;Die dritte Stiege;Keyserling, Eduard von;1892;m;74648
605;Schnee;Kielland, Alexander Lange;1889;m;36304
606;Naulahka, das Staatsglück;Balestier, Rudyard Kipling und Wolcott;1900;m;85039
607;Der Kavalier auf den Knien und andere Liebesgeschichten...;Klabund;1891;m;55427
608;Mohammed;Klabund;1917;m;13212
609;Moreau;Klabund;1915;m;13828
610;Das Rätsel von Grünweide;Klemm, Johanna;1900;f;86150
611;Der Faust der Morgenländer;Klinger, Friedrich Maximilian;1795;m;58849
612;Geschichte Giafars des Barmeciden - Band 1;Klinger, Friedrich Maximilian;1791;m;51170
613;Geschichte Giafars des Barmeciden - Band 2;Klinger, Friedrich Maximilian;1791;m;35130
614;Reisen vor der Sündfluth;Klinger, Friedrich Maximilian;1795;m;79796
615;Der Traum des Herrn Brick;Adolph, Friedrich Ludwig;1856;m;155322
616;Geschichte Peter Clausens;Knigge, Adolph Freiherr;1783;m;108218
617;Die Verirrungen des Philosophen oder Geschichte Ludwigs von Seelberg;Knigge, Adolph Freiherr;1787;m;101158
618;Friedel Polten und ihre Rangen;Koch, Henny;1890;f;94066
619;Der jüdische Gil Blas;Kohn, Joseph Seligmann;1834;m;37586
620;Am Pflug;Kompert, Leopold;1855;m;103066
621;Die Vestalinnen, Band 1;Kraft, Robert;1904;m;182943
622;Die Vestalinnen, Band 2;Kraft, Robert;1904;m;186162
623;Die Vestalinnen, Band 3;Kraft, Robert;1904;m;214749
624;Schillers Heimatjahre;Kurz, Hermann;1843;m;200121
625;Tropenarzt im Afrikanischen Busch;Külz, Ludwig;1906;m;100309
626;Quinctius Heymeran von Flaming;Lafontaine, August;1795;m;296101
627;Haß;Landsberger, Artur;1915;m;79546
628;Wolfs Geschichten um ein Bürgerhaus -- Erstes Buch: Im Schatten Napoleons;Langewiesche, Wilhelm;1919;m;67734
629;Wolfs Geschichten um ein Bürgerhaus – Zweites Buch: Vor Bismarcks Aufgang;Langewiesche, Wilhelm;1919;m;62805
630;Frau Aleit;Lauff, Joseph von;1905;m;114396
631;Anne-Susanne;Lauff, Joseph von;1915;m;89952
632;Die Brinkschulte;Lauff, Joseph von;1913;m;95469
633;Kärrekiek;Lauff, Joseph von;1902;m;69356
634;Marie Verwahnen;Lauff, Joseph von;1903;m;62644
635;Pittje Pittjewitt;Lauff, Joseph von;1903;m;107146
636;Sankt Anne;Lauff, Joseph von;1908;m;94412
637;Schnee;Lauff, Joseph von;1919;m;111169
638;Die Tanzmamsell;Lauff, Joseph von;1907;m;107895
639;Aspira;Laßwitz, Kurd;1904;m;56697
640;Auf zwei Planeten;Laßwitz, Kurd;1897;m;203360
641;Sternentau;Laßwitz, Kurd;1909;m;78614
642;Der Pfeiferkönig;Lienert, Meinrad;1909;m;52487
643;Oberlin;Lienhard, Friedrich;1910;m;137650
644;Der Gast;Lindau, Rudolf;1883;m;39913
645;Liebesheiraten;Lindau, Rudolf;1894;m;46872
646;Daphnis und Chloe;Longus;1838;m;28016
647;Das zweite Gesicht;Löns, Hermann;1912;m;82133
648;Der letzte Hansbur;Löns, Hermann;1909;m;34516
649;Dahinten in der Heide;Löns, Hermann;1909;m;34397
650;Kraut und Lot;Löns, Hermann;1911;m;165522
651;Der zweckmäßige Meyer;Löns, Hermann;1911;m;61459
652;Fritz Beutel;Marggraff, Hermann;1856;m;133853
653;Die zweite Frau;Marlitt, Eugenie;1874;f;97934
654;Das Eulenhaus;Marlitt, Eugenie;1888;f;89800
655;Reichsgräfin Gisela;Marlitt, Eugenie;1869;f;120079
656;Im Schillingshof;Marlitt, Eugenie;1870;f;129781
657;Der neue Ahasver;Mauthner, Fritz;1882;m;110154
658;Hypatia;Mauthner, Fritz;1891;m;90837
659;Der letzte Tod des Gautama Buddha;Mauthner, Fritz;1912;m;25536
660;Der Mir von Dschinnistan;May, Karl;1916;m;162523
661;Der Scout;May, Karl;1889;m;105263
662;Im Todesthale;May, Karl;1867;m;150642
663;Scepter und Hammer;May, Karl;1879;m;182662
664;Lopez Jordan::Lopez Jordan;May, Karl;1889;m;132713
665;Der Schatz der Inkas::Lopez Jordan;May, Karl;1890;m;182499
666;Der Schatz im Silbersee::Der Schatz im Silbersee;May, Karl;1891;m;191443
667;Die Liebe des Ulanen 1;May, Karl;1885;m;153904
668;Die Liebe des Ulanen;May, Karl;1885;m;124509
669;Die Liebe des Ulanen;May, Karl;1885;m;141256
670;Die Liebe des Ulanen;May, Karl;1885;m;125506
671;Die Liebe des Ulanen;May, Karl;1885;m;135185
672;Zwei Kaiserkronen;Meding, Oskar;1875;m;195344
673;Die Römerfahrt der Epigonen;Meding, Oskar;1874;m;118014
674;Europäische Minen und Gegenminen;Meding, Oskar;1873;m;254221
675;Der Todesgruß der Legionen;Meding, Oskar;1874;m;178083
676;Palle;Meding, Oskar;1895;m;104487
677;Die Saxoborussen;Meding, Oskar;1885;m;166362
678;Das Blinkfeuer von Brüsterort;Megede, Johannes Richard zur;1901;m;44177
679;Félicie;Megede, Johannes Richard zur;1900;m;99324
680;Modeste;Megede, Johannes Richard zur;1905;m;95829
681;Der Ueberkater;Megede, Johannes Richard zur;1905;m;90141
682;Der Ueberkater;Megede, Johannes Richard zur;1905;m;81935
683;Die Bernsteinhexe Maria Schweidler::Die Bernsteinhexe Maria Schweidler;Meinhold, Wilhelm;1841;m;64454
684;Richard Feverel;Meredith, George;1859;m;180552
685;Heidenstamm;Meyer-Förster, Wilhelm;1901;m;53395
686;Das grüne Gesicht;Meyrink, Gustav;1916;m;72972
687;Walpurgisnacht;Meyrink, Gustav;1917;m;49692
688;Die Familie Melville;Möllhausen, Balduin;1889;m;109683
689;Das Mormonenmädchen. Band I;Möllhausen, Balduin;1864;m;55913
690;Das Mormonenmädchen. Band II;Möllhausen, Balduin;1864;m;59919
691;Der Piratenlieutenant - Teil 1;Möllhausen, Balduin;1869;m;111872
692;Der Piratenlieutenant – Teil 2;Möllhausen, Balduin;1869;m;109841
693;Der Schatz von Quivira;Möllhausen, Balduin;1879;m;161737
694;Der Vaquero;Möllhausen, Balduin;1905;m;77793
695;Afraja König von Lappland;Mügge, Theodor;1854;m;72631
696;Afraja;Mügge, Theodor;1854;m;190856
697;Erich Randal;Mügge, Theodor;1856;m;271446
698;Frau Doktor Breuer;Mühlau, Helene von;1920;f;76233
699;Der große Schwabenzug;Müller-Guttenbrunn, Adam;1913;m;84472
700;Der Herr der Welt;Mützelburg, Adolf;1856;m;91513
701;Elisabeth. I. Band;Nathusius, Marie;1858;f;73722
702;Elisabeth – Zweiter Band;Nathusius, Marie;1858;f;101317
703;Das Tagebuch der Ottony von Kelchberg;Niese, Charlotte;1913;f;49047
704;Kajus Rungholt;Niese, Charlotte;1886;f;72213
705;Aus großen Höhen;Ompteda, Georg Freiherr von;1903;m;60628
706;Denise de Montmidi;Ompteda, Georg Freiherr von;1904;m;91900
707;Margret und Ossana;Ompteda, Georg Freiherr von;1911;m;82837
708;Maria da Caza;Ompteda, Georg Freiherr von;1897;m;69597
709;Der Rebell;Oppeln-Bronikowski, Friedrich von;1905;m;81440
710;Thomas Thyrnau – Erster Theil;Paalzow, Henriette;1788;f;77490
711;Thomas Thyrnau – Zweiter Theil;Paalzow, Henriette;1788;f;94088
712;Thomas Thyrnau – Dritter Theil;Paalzow, Henriette;1788;f;102071
713;Bob der Fallensteller;Pajeken, Friedrich Joachim;1890;m;60253
714;Andrew Brown – Der rote Spion;Pajeken, Friedrich Joachim;1894;m;51475
715;Das verlorene Paradies;Perfall, Anton von;1896;m;52666
716;Liebe ist ewig;Polenz, Wilhelm von;1901;m;86393
717;Der Pfarrer von Breitendorf Erster Band;Polenz, Wilhelm von;1895;m;65844
718;Der Pfarrer von Breitendorf Zweiter Band;Polenz, Wilhelm von;1895;m;65271
719;Wurzellocker - Erster Band;Polenz, Wilhelm von;1902;m;59724
720;Wurzellocker Zweiter Band;Polenz, Wilhelm von;1902;m;59308
721;Siebenquellen;Ponten, Josef;1908;m;55672
722;Der babylonische Turm;Ponten, Josef;1918;m;104933
723;Der Rubin der Herzogin;Presber, Rudolf;1915;m;101072
724;Yoshiwara - Vom Freudenhaus des Lebens;Preuschen, Hermione von;1920;f;28784
725;1812 – Ein historischer Roman;Rellstab, Ludwig;1812;m;362019
726;Die Abenteurer;Retcliffe, Sir John;1880;m;132834
727;Garibaldi;Retcliffe, Sir John;1860;m;71809
728;Magenta und Solferino - Band 1;Retcliffe, Sir John;1864;m;103634
729;Magenta und Solferino - Band 2;Retcliffe, Sir John;1865;m;101302
730;Magenta und Solferino - Band 3;Retcliffe, Sir John;1865;m;103654
731;Nena Sahib;Retcliffe, Sir John;1884;m;222548
732;Sebastopol - Erster Band;Retcliffe, Sir John;1856;m;210619
733;Sewastopol - Zweiter Band;Retcliffe, Sir John;1860;m;102774
734;Abenteuer in Sibirien;Retcliffe, Sir John;1870;m;61723
735;Solferino;Retcliffe, Sir John;1864;m;101868
736;Die Abenteurer der Sonora;Retcliffe, Sir John;1919;m;79265
737;Dörchläuchting;Reuter, Fritz;1866;m;83154
738;Ut de Franzosentid;Reuter, Fritz;1859;m;63054
739;Der Trotzkopf;Rhoden, Emmy von;1883;f;52876
740;Ein ganzer Mann;Riehl, Wilhelm Heinrich;1897;m;62658
741;Rosalie und Cleberg auf dem Lande / 1;Roche, Sophie von La;1791;f;79808
742;Das tote Brügge;Rodenbach, Georges;1902;m;22435
743;Heideschulmeister Uwe Karsten;Rose, Felicitas;1909;f;61151
744;Kerlchens Lern- und Wanderjahre;Rose, Felicitas;1902;f;40729
745;Kerlchen als Anstandsdame;Rose, Felicitas;1903;f;36975
746;Provinzmädel;Rose, Felicitas;1902;f;35962
747;Kerlchen als Sorgen- und Sektbrecher;Rose, Felicitas;1903;f;36453
748;Heidepeters Gabriel;Rosegger, Peter;1882;m;82792
749;Jakob der Letzte;Rosegger, Peter;1889;m;78178
750;Peter Mayr der Wirt an der Mahr;Rosegger, Peter;1893;m;98968
751;Das Erwachen;Ruederer, Josef;1916;m;86167
752;Ein verbummelter Student;Sack, Gustav;1917;m;47907
753;Kontraste und Paradoxen;Sallet, Friedrich von;1845;m;67545
754;Die Familie Pfäffling;Sapper, Agnes;1907;f;64140
755;Fritz Reinhardt;Schaumberger, Heinrich;1874;m;134237
756;Der Tod der Barmekiden;Scheerbart, Paul;1897;m;39996
757;Das graue Tuch und zehn Prozent Weiß;Scheerbart, Paul;1914;m;31019
758;Der Kaiser von Utopia;Scheerbart, Paul;1904;m;29711
759;Die große Revolution. Ein Mondroman;Scheerbart, Paul;1902;m;29800
760;Münchhausen und Clarissa;Scheerbart, Paul;1906;m;27730
761;Na prost!;Scheerbart, Paul;1898;m;16560
762;Rakkóx der Billionär;Scheerbart, Paul;1901;m;5210
763;Michel;Scherr, Johannes;1858;m;153014
764;Die Pilger der Wildnis;Scherr, Johannes;1853;m;56288
765;Benkal, der Frauentröster;Schickele, René;1913;m;31159
766;Meine Freundin Lo;Schickele, René;1911;m;23637
767;Irrwege der Liebe;Schirokauer, Alfred;1919;m;26821
768;Lassalle;Schirokauer, Alfred;1912;m;91119
769;Das Lied der Parzen;Schirokauer, Alfred;1912;m;59315
770;Bürgerliche Bohème;Schmitz, Oscar A. H.;1918;m;133868
771;Künstlerblut;Schobert, Hedwig;1892;m;111299
772;Der deutsche Herzog;Schreckenbach, Paul;1914;m;73814
773;Der getreue Kleist;Schreckenbach, Paul;1909;m;72144
774;Der böse Baron von Krosigk;Schreckenbach, Paul;1907;m;95371
775;Michael Meyenburg;Schreckenbach, Paul;1919;m;84263
776;Die letzten Rudelsburger;Schreckenbach, Paul;1913;m;64169
777;Um die Wartburg;Schreckenbach, Paul;1912;m;61157
778;Wildefüer;Schreckenbach, Paul;1919;m;94287
779;Gräfin Erikas Lehr- und Wanderjahre;Schubin, Ossip;1892;m;128642
780;Im gewohnten Geleis;Schubin, Ossip;1901;m;75534
781;Marška;Schubin, Ossip;1902;m;28111
782;Maximum;Schubin, Ossip;1896;m;61781
783;Der Rosenkavalier;Schubin, Ossip;1900;m;43964
784;Rodanseck;Schwerin, Josephine Gräfin;1883;f;43810
785;Eine dunkle Tat;Schücking, Levin;1896;m;62531
786;Luther in Rom;Schücking, Levin;1870;m;114144
787;Die Marketenderin von Köln;Schücking, Levin;1860;m;89473
788;Das blutige Blockhaus;Sealsfield, Charles;1834;m;112141
789;Das Kajütenbuch oder Nationale Charakteristiken;Sealsfield, Charles;1843;m;109447
790;Der Legitime und die Republikaner;Sealsfield, Charles;1833;m;143815
791;Nathan der Squatter;Sealsfield, Charles;1835;m;41139
792;Tokeah;Sealsfield, Charles;1828;m;143823
793;Der Virey und die Aristokraten;Sealsfield, Charles;1835;m;92118
794;Reinhard Flemmings Abenteuer zu Wasser und zu Lande;Seidel, Heinrich;1888;m;47351
795;Fischke der Krumme;Sfurim, Mendele Moicher;1869;m;58038
796;Der Wagehals;Skowronnek, Fritz;1866;m;52383
797;Schweigen im Walde;Skowronnek, Richard;1909;m;65638
798;Sturmzeichen;Skowronnek, Richard;1914;m;69447
799;Seemanns-Sagen und Schiffer-Märchen;Smidt, Heinrich;1835;m;60641
800;Die Höhlenkinder – Im Heimlichen Grund;Sonnleitner, A. Th.;1918;m;44736
801;Die Höhlenkinder – Im Pfahlbau;Sonnleitner, A. Th.;1918;m;44989
802;Die Höhlenkinder – Im Steinhaus;Sonnleitner, A. Th.;1920;m;39115
803;Heidehof Lohe;Speckmann, Diedrich;1906;m;72005
804;Frei geboren;Spielhagen, Friedrich;1900;m;101136
805;Noblesse oblige;Spielhagen, Friedrich;1888;m;107420
806;Opfer;Spielhagen, Friedrich;1899;m;134408
807;Platt Land;Spielhagen, Friedrich;1878;m;171169
808;Quisisana;Spielhagen, Friedrich;1880;m;79279
809;Sturmflut;Spielhagen, Friedrich;1877;m;93386
810;Susi;Spielhagen, Friedrich;1889;m;55259
811;Uhlenhans;Spielhagen, Friedrich;1884;m;140716
812;Der Vogelhändler von Imst;Spindler, Carl;1841;m;215176
813;Der Jesuit;Spindler, Carl;1829;m;117301
814;Im Rhonetal;Spyri, Johanna;1896;f;25882
815;Was soll denn aus ihr werden?;Spyri, Johanna;1887;f;69598
816;Schloss Wildenstein;Spyri, Johanna;1892;f;66314
817;Drei Nächte;Stehr, Hermann;1909;m;87067
818;Der begrabene Gott;Stehr, Hermann;1905;m;69463
819;Der Heiligenhof;Stehr, Hermann;1918;m;188157
820;Irmela;Steinhausen, Heinrich;1881;m;68443
821;Wilhelmine Buchholz' Memoiren;Stinde, Julius;1895;m;75440
822;Emma das geheimnißvolle Hausmädchen;Stinde, Julius;1904;m;56631
823;Die Familie Buchholz. Aus dem Leben der Hauptstadt;Stinde, Julius;1884;m;69045
824;Buchholzens in Italien;Stinde, Julius;1883;m;49589
825;Frau Buchholz im Orient;Stinde, Julius;1888;m;76566
826;Morgenrot;Stoessl, Otto;1912;m;111227
827;Sonjas letzter Name;Stoessl, Otto;1908;m;57740
